"","UNITID","inst","X","INSTNM","IALIAS","ADDR","CITY","STABBR","ZIP","FIPS","OBEREG","CHFNM","CHFTITLE","GENTELE","EIN","DUNS","OPEID","OPEFLAG","WEBADDR","ADMINURL","FAIDURL","APPLURL","NPRICURL","VETURL","ATHURL","DISAURL","SECTOR","ICLEVEL","CONTROL","HLOFFER","ENRLW","XENRLFT","ENRLFT","XENRLFTM","XCSUNKNM","CSUNKNM","XCSUNKNW","CSUNKNW","XCSNRALT","CSNRALT","XCSNRALM","CSNRALM","XCSNRALW","CSNRALW","infections","city","sector","EFFYLEV","EFYTOTLT","infectionsPerEnroll","INSTNM2","label1"
"11",211361,"California U. of Penna.",1248,"California University of Pennsylvania",NA,"250 University Ave","California","PA","15419-1394",42,2,"Geraldine M. Jones","President, California University of PA",7249384400,251508140,"796904324",331600,1,"www.calu.edu","www.calu.edu/prospective/undergraduate-admissions/index.htm","www.calu.edu/prospective/undergraduate-admissions/financial-aid/index.htm","www.calu.edu/prospective/undergraduate-admissions/how-to-apply/index.htm","www.passhe.edu/answers/Calculator/CA/npcalc-211361.htm","www.calu.edu/prospective/global-online/military-resources/index.htm",NA,"www.calu.edu/current-students/student-services/disability/","Public",1,1,9,482,"R",879,"R","R",37,"R",45,"R",22,"R",9,"R",13,7,"California",NA,1,9440,0.001,"California U of Pennsylvania",NA
"12",211440,"Carnegie Mellon U.",1250,"Carnegie Mellon University","Carnegie Mellon; CMU","5000 Forbes Avenue","Pittsburgh","PA","15213-3890",42,2,"Subra Suresh","President",4122682000,250969449,"52184116",324200,1,"www.cmu.edu/","admission.enrollment.cmu.edu/","admission.enrollment.cmu.edu/pages/financial-aid","admission.enrollment.cmu.edu/pages/apply-now","admission.enrollment.cmu.edu/pages/financial-aid-estimator","www.cmu.edu/hub/records/benefits/",NA,"www.cmu.edu/hr/eos/disability/index.html","Private",1,2,9,774,"R",1552,"R","R",117,"R",83,"R",2218,"R",1389,"R",829,67,"Pittsburgh","Private",1,15143,0.004,"Carnegie Mellon U",NA
"13",211468,"Cedar Crest College",1251,"Cedar Crest College",NA,"100 College Drive","Allentown","PA","18104-6196",42,2,"Carmen Twillie Ambar","President",6106064666,231365953,"47354113",324300,1,"www.cedarcrest.edu","unleashed.cedarcrest.edu/","unleashed.cedarcrest.edu/tuition-financial-aid/index.shtm","unleashed.cedarcrest.edu/apply-now/index.shtm","www.cedarcrest.edu/ca/admissions/aidcalculator.shtm","www.cedarcrest.edu/ca/stufinserv/n_index.shtm",NA,"www.cedarcrest.edu/ca/ada_file.shtm","Private",1,2,7,181,"R",181,"R","R",2,"R",41,"R",10,"R",9,"R",1,1,"Allentown",NA,1,1931,0.001,"Cedar Crest College",NA
"14",211556,"Chatham U.",1253,"Chatham University","Chatham","Woodland Rd","Pittsburgh","PA","15232",42,2,"David Finegold,  DPhil.","President",4123651100,250717890,"4501086",324400,1,"www.chatham.edu","www.chatham.edu/admission/","www.chatham.edu/admission/","www.chatham.edu/ccps/admissions.cfm","www.chatham.edu/calculator/","www.chatham.edu/admission/aid/yellowribbon.cfm",NA,"www.chatham.edu/academics/support/disability.cfm","Private",1,2,9,148,"R",194,"R","R",10,"R",45,"R",40,"R",7,"R",33,47,"Pittsburgh",NA,1,2810,0.017,"Chatham U",NA
"15",211644,"Clarion U. of Penna.",1255,"Clarion University of Pennsylvania","Clarion University","840 Wood Street","Clarion","PA","16214",42,2,"Dr. Karen Whitney","President",8143932000,251474927,"72153737",331800,1,"www.clarion.edu","www.clarion.edu/admissions/","www.clarion.edu/tuition-and-financial-aid/","www.clarion.edu/admissions/apply-to-clarion/index.html","www.passhe.edu/answers/Calculator/CL/npcalc-211644.htm","www.clarion.edu/admissions/veterans-and-military/",NA,"www.clarion.edu/academics/student-success-center/disability-support/","Public",1,1,9,599,"R",920,"R","R",11,"R",20,"R",4,"R",1,"R",3,2,"Clarion",NA,1,5677,0,"Clarion U of Pennsylvania",NA
"16",211981,"Delaware Valley U.",1258,"Delaware Valley University",NA,"700 E Butler Ave","Doylestown","PA","18901-2697",42,2,"Dr. Maria Gallo","President",2153451500,231352665,"79486007",325200,1,"www.delval.edu","www.delval.edu/admission","www.delval.edu/offices-services/financial-aid","www.delval.edu/admission/apply-now","www.delval.edu/admission/undergraduate-admission/affording-delval","www.delval.edu/academics/for-military-members-veterans","www.delval.edu/img/2015-08-05-student-consumer-information-gradandreten.jpg","www.delval.edu/events-campus-life/services-and-supports/disability-services","Private",1,2,9,246,"R",451,"R","R",10,"R",24,"R",1,"R",0,"R",1,18,"Doylestown","Private",1,2879,0.006,"Delaware Valley U",NA
"17",212054,"Drexel U.",1260,"Drexel University","Drexel","3141 Chestnut St","Philadelphia","PA","19104",42,2,"John A. Fry","President",2158952000,231352630,"2604817",325600,1,"www.drexel.edu","www.drexel.edu/admissions/overview.aspx","www.drexel.edu/financialaid/","www.drexel.edu/admissions/apply/","drexel.studentaidcalculator.com/survey.aspx","drexel.edu/studentaffairs/student_family_resources/veterans/resources/Yellow%20Ribbon/","ncaa.org/about/resources/research/graduation-success-rate","drexel.edu/oed/disabilityResources/overview/","Private",1,2,9,1029,"R",2324,"R","R",118,"R",190,"R",991,"R",530,"R",461,36,"Philadelphia","Private",1,28249,0.001,"Drexel U",NA
"18",212106,"Duquesne U.",1261,"Duquesne University",NA,"Administration Bldg 600 Forbes Ave","Pittsburgh","PA","15282",42,2,"Ken Gormley","President",4123966000,251035663,"4501193",325800,1,"www.duq.edu","www.duq.edu/admissions-and-aid/undergraduate-admissions","www.duq.edu/admissions-and-aid/financial-aid","www.duq.edu/admissions-and-aid/undergraduate-admissions/apply-to-duquesne","www.duq.edu/admissions-and-aid/tuition/net-price-calculator","www.duq.edu/admissions-and-aid/military-and-veterans/using-your-benefits","www.duq.edu/about/facts-and-rankings/consumer-information-graduation-rates","www.duq.edu/life-at-duquesne/student-services/special-services","Private",1,2,9,998,"R",1546,"R","R",22,"R",24,"R",134,"R",64,"R",70,167,"Pittsburgh","Private",1,10319,0.016,"Duquesne U",NA
"19",212133,"Eastern U.",1263,"Eastern University",NA,"1300 Eagle Rd","Saint Davids","PA","19087-3696",42,2,"Robert Duffett","President",6103415800,231409675,"71450480",325900,1,"www.eastern.edu/about/student-consumer-information","www.eastern.edu/admissions","www.eastern.edu/offices-centers/financial-aid-office","www.eastern.edu/admissions/admissions-applications","www.eastern.edu/admissions/undergraduate/undergraduate-net-price-calculator","www.eastern.edu/military/veteran-benefits",NA,"www.eastern.edu/student-life/academic-support-counseling-and-disability-services/","Private",1,2,9,294,"R",424,"R","R",7,"R",42,"R",40,"R",19,"R",21,21,"St. Davids",NA,1,3988,0.005,"Eastern U",NA
"20",212197,"Elizabethtown College",1265,"Elizabethtown College",NA,"One Alpha Drive","Elizabethtown","PA","17022-2298",42,2,"Carl Strikwerda","President",7173611000,231352632,"72840838",326200,1,"www.etown.edu","www.etown.edu/admissions","www.etown.edu/admissions/financial-aid.aspx","www.etown.edu/admissions/apply/index.aspx","https://npc.collegeboard.org/student/app/etown","www.etown.edu/offices/registration-records/veterans.aspx",NA,"www.etown.edu/offices/disability/","Private",1,2,7,265,"R",442,"R","Z",0,"Z",0,"R",14,"R",12,"R",2,15,"Elizabethtown","Private",1,2243,0.007,"Elizabethtown College",NA
"21",212577,"Franklin and Marshall College",1267,"Franklin and Marshall College","Franklin & Marshall College|Franklin & Marshall|Franklin and Marshall|F&M|FandM","College Ave","Lancaster","PA","17604-3003",42,2,"Daniel Porterfield","President",7172913911,231352635,"69773646",326500,1,"WWW.FANDM.EDU","www.fandm.edu/admission","www.fandm.edu/financialaid","www.fandm.edu/admission/apply","https://npc.collegeboard.org/student/app/fandm",NA,NA,"fandm.edu/office-of-disability-services","Private",1,2,5,356,"R",639,"R","R",22,"R",24,"R",76,"R",45,"R",31,17,"Lancaster","Private",1,2460,0.007,"Franklin and Marshall College",NA
"22",212601,"Gannon U.",1268,"Gannon University",NA,"109 W Sixth St","Erie","PA","16541-0001",42,2,"Keith Taylor, Ph.D.","President",8148717000,250496976,"72159767",326600,1,"www.gannon.edu","www.gannon.edu/Admissions/","www.gannon.edu/Financial-Aid/","https://apply.gannon.edu/Datatel.ERecruiting.Web.External/Pages/Login.aspx?ReturnUrl=/Datatel.ERecruiting.Web.External/Pages/application.aspx?type=dat","https://gannon.studentaidcalculator.com/","www.gannon.edu/Admissions/Veterans-at-Gannon/","www.gannon.edu/About-Gannon/Student-Consumer-Information/","www.gannon.edu/Academic-Offerings/Student-Success-Center/","Private",1,2,9,377,"R",626,"R","R",3,"R",5,"R",296,"R",255,"R",41,79,"Erie",NA,1,4901,0.016,"Gannon U",NA
"23",212656,"Geneva College",1269,"Geneva College",NA,"3200 College Ave","Beaver Falls","PA","15010-3599",42,2,"Calvin L. Troup","President",7248465100,250965376,NA,326700,1,"www.geneva.edu","www.geneva.edu/admissions/","www.geneva.edu/financial-aid/","www.geneva.edu/admissions/","www.geneva.edu/financial-aid/calculator/netprice_calculator","www.geneva.edu/object/veterans",NA,"www.geneva.edu/student-life/services/ssc/disability-services/","Private",1,2,7,143,"R",289,"R","R",3,"R",4,"R",5,"R",3,"R",2,6,"Beaver Falls","Private",1,1718,0.003,"Geneva College",NA
"24",212674,"Gettysburg College",1270,"Gettysburg College",NA,"300 N Washington St","Gettysburg","PA","17325",42,2,"Janet Morgan Riggs","President",7173376300,231352641,"71445134",326800,1,"WWW.GETTYSBURG.EDU","www.gettysburg.edu/admissions/","www.gettysburg.edu/scholarships_aid/","www.gettysburg.edu/admissions/application_process/","www.gettysburg.edu/calculator/","www.gettysburg.edu/scholarships_aid/how-to-apply-continuing/yellow-ribbon.dot",NA,"www.gettysburg.edu/about/offices/president/hr/disability-services/index.dot","Private",1,2,5,375,"R",698,"R","R",4,"R",15,"R",25,"R",14,"R",11,99,"Gettysburg","Private",1,2679,0.037,"Gettysburg College",NA
"25",212805,"Grove City College",1271,"Grove City College",NA,"100 Campus Dr","Grove City","PA","16127-2104",42,2,"Paul J. McNulty","President",7244582000,251065148,"74969304",326900,3,"www.gcc.edu","www.gcc.edu/futurestudents","www.gcc.edu/futurestudents/financialaid/","https://my.gcc.edu/gcc_misc/admissionsapp.aspx","https://gcc.studentaidcalculator.com",NA,NA,"www.gcc.edu/academics/academicadvising/Pages/Disabilities-Services.aspx","Private",1,2,5,270,"R",583,"R","Z",0,"Z",0,"R",4,"R",3,"R",1,33,"Grove City","Private",1,2405,0.014,"Grove City College",NA
"26",212911,"Haverford College",1273,"Haverford College",NA,"370  Lancaster Ave","Haverford","PA","19041-1392",42,2,"Kimberly W. Benston","President",6108961000,236002304,"2502615",327400,1,"https://www.haverford.edu","https://www.haverford.edu/admission/","https://www.haverford.edu/financial-aid","https://www.haverford.edu/admission/applying","https://www.haverford.edu/admission/tuition-and-aid",NA,NA,"https://www.haverford.edu/access-and-disability-services","Private",1,2,5,176,"R",349,"R","R",0,"R",1,"R",21,"R",10,"R",11,5,"Haverford",NA,1,1368,0.004,"Haverford College",NA
"27",212984,"Holy Family U.",1274,"Holy Family University","Holy Family","9801 Frankford Avenue","Philadelphia","PA","19114-2009",42,2,"Sister Maureen McGarrity, CSFN, Ph.D.","President",2156377700,231501197,"826447237",327500,1,"https://www.holyfamily.edu","https://www.holyfamily.edu/choosing-holy-family-u/admissions","https://www.holyfamily.edu/choosing-holy-family-u/financial-aid","https://holyfamily.secure.force.com/form?formid=217772&tfa_6438=tfa_6439","https://www.holyfamily.edu/about-holy-family-u/resources/business-office/tuition-fees/net-price-calculator","https://www.holyfamily.edu/choosing-holy-family-u/academics/registrar/veterans-affairs","https://www.holyfamily.edu/oir/heoa.shtml","https://www.holyfamily.edu/current-students/student-resources/wellness-services/disability-services","Private",1,2,9,230,"R",328,"R","R",56,"R",162,"R",0,"R",0,"R",0,4,"Philadelphia","Private",1,3754,0.001,"Holy Family U",NA
"28",213011,"Immaculata U.",1276,"Immaculata University",NA,"1145 King Rd","Immaculata","PA","19345",42,2,"Sister R. Patricia Fadden","President",6106474400,231352648,"81881633",327600,1,"www.immaculata.edu","www.immaculata.edu/admissions/cus/prospect","www.immaculata.edu/FinAid","www.immaculata.edu/admissions/cus/apply","www.immaculata.edu/FinAid/net_price_calculator","www.immaculata.edu/cll/veterans",NA,"www.immaculata.edu/academics/academic_success/accommodations","Private",1,2,9,162,"R",216,"R","R",0,"R",12,"R",4,"R",2,"R",2,1,"Immaculata","Private",1,3116,0,"Immaculata U",NA
"29",213251,"Juniata College",1279,"Juniata College",NA,"1700 Moore St","Huntingdon","PA","16652-2196",42,2,"James A. Troha","President",8146413000,231352652,"72845035",327900,1,"www.juniata.edu","www.juniata.edu/admission/","www.juniata.edu/admission/scholarships-and-aid/index.php","www.juniata.edu/admission/apply.html","https://secureweb.juniata.edu/admission/calculator/aid_calculator_new.html","www.juniata.edu/services/registrar/VAPrograms.doc","www.juniata.edu/services/research/retention.html","www.juniata.edu/offices/academic-support/accomodating-students-with-disabilities.php","Private",1,2,7,210,"R",394,"R","R",20,"R",26,"R",33,"R",16,"R",17,32,"Huntingdon","Private",1,1495,0.021,"Juniata College",NA
"30",213321,"King's College",1281,"King's College","Kings College|King's|Kings","133 N River St","Wilkes-Barre","PA","18711-0801",42,2,"Rev. John J. Ryan, C.S.C., Ph.D.","President",5702085900,240804602,"69594687",328200,1,"www.kings.edu","www.kings.edu/Admissions","www.kings.edu/Admissions/financial_aid","www.kings.edu/Admissions/applying_to_kings","collegecostcalculator.org/KingsCollege",NA,NA,"www.kings.edu/academics/support/skills_center/disabilities_program","Private",1,2,7,254,"R",570,"R","R",17,"R",13,"R",20,"R",9,"R",11,16,"Wilkes-Barre","Private",1,2923,0.005,"King's College",NA
"31",213367,"La Salle U.",1284,"La Salle University",NA,"1900 W Olney Ave","Philadelphia","PA","19141-1199",42,2,"Colleen M. Hanycz, PhD","President",2159511000,231352654,"71617880",328700,1,"www.lasalle.edu","www.lasalle.edu/admiss/","www.lasalle.edu/admiss/fin_aid/","www.lasalle.edu/admiss/apply_now.php","https://lasalle.studentaidcalculator.com/survey.aspx","www.lasalle.edu/military/veterans-resources/","www.lasalle.edu/students/dean/divpub/manuals/sgrrr/index.php?accordion_num=2&vn2_accordion_num=3&content=policies&anchorID=hara","www.lasalle.edu/academiclearningsupport/classroom-accommodations","Private",1,2,9,536,"R",869,"R","R",18,"R",53,"R",42,"R",20,"R",22,18,"Philadelphia","Private",1,7168,0.003,"La Salle U",NA
"32",213385,"Lafayette College",1285,"Lafayette College",NA,"High St","Easton","PA","18042-1768",42,2,"Alison R. Byerly","President",6103305000,240795686,"41364522",328400,1,"https://www.lafayette.edu/","https://admissions.lafayette.edu/","https://admissions.lafayette.edu/financial-aid/","https://apply.commonapp.org/Login?ma=138","https://npc.collegeboard.org/student/app/lafayette",NA,"www.goleopards.com/compliance/lafa-compliance.html","https://attic.lafayette.edu/disability-services/","Private",1,2,5,350,"R",649,"R","R",19,"R",30,"R",52,"R",25,"R",27,26,"Easton","Private",1,2672,0.01,"Lafayette College",NA
"33",213400,"Lancaster Bible College",1286,"Lancaster Bible College",NA,"901 Eden Rd","Lancaster","PA","17601-5036",42,2,"Peter W Teague","President",7175697071,231484178,NA,328500,1,"https://www.LBC.edu","https://www.lbc.edu/admissions-financial-aid/index.html","https://www.lbc.edu/admissions-financial-aid/index.html","www.lbc.edu/apply/index","https://lbc.studentaidcalculator.com/survey.aspx","www.lbc.edu/Assets/PDFs/Adult%20Learner/lbc_dc-va-application-and-enrollment-checklist.pdf","www.lbc.edu/about/student-consumer-information/index","www.lbc.edu/undergraduate/academics/academic-resources/ally-center/disability-services/index.html","Private",1,2,9,91,"R",165,"R","R",10,"R",9,"R",2,"R",1,"R",1,3,"Lancaster","Private",1,2570,0.001,"Lancaster Bible College",NA
"34",213507,"Lebanon Valley College",1287,"Lebanon Valley College","LVC","101 N College Ave","Annville","PA","17003-1400",42,2,"Lewis Evitts Thayne","President",7178676100,231352354,"69791457",328800,1,"www.lvc.edu","www.lvc.edu/admission/","www.lvc.edu/financial-aid","www.lvc.edu/admission/apply.aspx","www.lvc.edu/npc","www.lvc.edu/financial-aid/military-benefits.aspx","www.lvc.edu/catalog/","www.lvc.edu/disability-resources/","Private",1,2,9,238,"R",428,"R","R",8,"R",10,"R",3,"R",1,"R",2,1,"Annville","Private",1,2149,0,"Lebanon Valley College",NA
"35",213543,"Lehigh U.",1288,"Lehigh University",NA,"27 Memorial Drive West","Bethlehem","PA","18015",42,2,"John D. Simon","President",6107583000,240795445,"793265539",328900,1,"www.lehigh.edu","www.lehigh.edu/admissions","www.lehigh.edu/financialaid","www1.lehigh.edu/admissions/undergrad/apply","https://npc.collegeboard.org/student/app/lehigh","www.lehigh.edu/registrar/students/veterans.html","www.lehighsports.com/sports/2013/6/27/GEN_0627132600.aspx?id=244","studentaffairs.lehigh.edu/disabilities","Private",1,2,9,559,"R",1249,"R","R",33,"R",42,"R",320,"R",185,"R",135,262,"Bethlehem","Private",1,7330,0.036,"Lehigh U",NA
"36",213613,"Lock Haven U.",1290,"Lock Haven University","Lock Haven","401 North Fairview Street","Lock Haven","PA","17745-2390",42,2,"Dr. Michael Fiorentino, Jr.","President",5704842011,232442881,"172508103",332300,1,"www.lhup.edu","www.lhup.edu/admissions/","www.lhup.edu/students/financialaid/","www.lhup.edu/Admissions/applying-to-lhu.html","www.passhe.edu/answers/Calculator/LO/npcalc-213613.htm","www.lhup.edu/Admissions/Veterans/","sidearm.sites.s3.amazonaws.com/golhu.com/documents/2012/10/24/NCAAGradRates.pdf?tab=ncaagraduationratereport","www.lhup.edu/colleges/Business_Information/academic_development/disability_services/","Public",1,1,7,452,"R",793,"R","R",6,"R",4,"R",5,"Z",0,"R",5,90,"Lock Haven",NA,1,3803,0.024,"Lock Haven U",NA
"37",213668,"Lycoming College",1292,"Lycoming College",NA,"700 College Place","Williamsport","PA","17701-5192",42,2,"Kent C. Trachte","President",5703214000,240795965,"58446105",329300,1,"www.lycoming.edu","www.lycoming.edu/admissions/","www.lycoming.edu/financialAid/","https://www.lycoming.edu/admissions/howToApply/onlineApplication.aspx","https://lycoming.studentaidcalculator.com",NA,NA,"www.lycoming.edu/academicResourceCenter/disability-support/","Private",1,2,5,158,"R",343,"R","R",4,"R",1,"R",16,"R",6,"R",10,11,"Williamsport",NA,1,1172,0.009,"Lycoming College",NA
"38",213783,"Mansfield U. of Penna.",1294,"Mansfield University of Pennsylvania","Mansfield University","Academy Street","Mansfield","PA","16933",42,2,"Francis Hendricks","President",5706624000,251690694,"75989673",332400,1,"www.mansfield.edu","admissions.mansfield.edu/","esd.mansfield.edu/financial-services/index.cfm","admissions.mansfield.edu/apply%2Dnow/","www.passhe.edu/answers/Calculator/MA/npcalc-213783.htm","esd.mansfield.edu/veteran-educational-benefits/index.cfm","www.mansfield.edu/HEA/","www.mansfield.edu/ssd/","Public",1,1,7,284,"R",449,"R","R",5,"R",9,"R",1,"R",1,"Z",0,14,"Mansfield",NA,1,1799,0.008,"Mansfield U of Pennsylvania",NA
"39",213826,"Marywood U.",1295,"Marywood University","Marywood","2300 Adams Ave","Scranton","PA","18509-1598",42,2,"Sister Mary Persico, I.H.M., Ed. D.","President",5703486211,240795453,"79186920",329600,1,"www.marywood.edu/","www.marywood.edu/admissions/","www.marywood.edu/fin_aid/","https://recruiterweb.marywood.edu/Datatel.ERecruiting.Web.External/Pages/Welcome.aspx","www.marywood.edu/admissions/calc.html",NA,NA,"www.marywood.edu/academicsuccess/disability-services/","Private",1,2,9,218,"R",323,"R","R",25,"R",52,"R",54,"R",21,"R",33,31,"Scranton","Private",1,3135,0.01,"Marywood U",NA
"40",213987,"Mercyhurst U.",1296,"Mercyhurst University",NA,"501 E 38th St","Erie","PA","16546",42,2,"Michael T. Victor, J.D., LL.D","President",8148242000,250965430,"99519340",329700,1,"www.mercyhurst.edu","www.mercyhurst.edu/admissions","www.mercyhurst.edu/admissions-aid/undergraduate-admissions/costs-financial-aid/applying-financial-aid","apply.mercyhurst.edu/apply","https://mercyhurst.studentaidcalculator.com/survey.aspx","www.mercyhurst.edu/veterans","www.hurstathletics.com/news/2013/1/31/GEN_0131134507.aspx?path=wcross","www.mercyhurst.edu/academics/autism-initiative-mercyhurst","Private",1,2,9,401,"R",724,"R","R",17,"R",24,"R",79,"R",38,"R",41,20,"Erie","Private",1,2860,0.007,"Mercyhurst U",NA
