"","GHGRP ID","Landfill ID","Landfill Name","State","Landfill Alias","Physical Address","City","County","Zip Code","Latitude","Longitude","Composting?","Ownership Type","Landfill Owner Organization(s)","Landfill Operator Organization","Year Landfill Opened","Landfill Closure Year","Current Landfill Status","Design Landfill Area (acres)","Current Landfill Area (acres)","Design Landfill Depth (feet)","Current Landfill Depth (feet)","Landfill Design Capacity (tons)","Waste in Place (tons)","Waste in Place Year","Annual Waste Acceptance Rate (tons per year)","Annual Waste Acceptance Year","Does LF Recirculate Leachate?","Leachate Recirc Frequency (Past 10 Yrs)","Permitted as RD&D LF?","LFG Generated (mmscfd)","LFG Collection System In Place?","LFG Collected (mmscfd)","LFG Collected Year","Percent Methane","Flares in Place?","Number of Flares","LFG Flared (mmscfd)","LFG Flared Year","Gas Collection System Comments"
"11",NA,16,"Bishop Landfill Company","AL",NA,"379 Pleasant Grove Cutoff Road","Albertville","Marshall","35950",34.27823,-86.33707,"No","Private","Bishop Landfill Company","Bishop Landfill Company",1968,2002,"Closed",45,28,NA,187.5,NA,2700000,NA,83950,2000,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"12",1004245,2005,"Black Warrior Solid Waste Facility","AL",NA,"3301 Landfill Drive","Coker","Tuscaloosa","35452",33.24314,-87.66585,"No","Public","Black Warrior Solid Waste Disposal Authority, AL","Black Warrior Solid Waste Disposal Authority, AL",1997,2037,"Open",220,80.3,NA,NA,9826872,7978193,2021,352153,2021,"No","Not used","No",5.551,"Yes",0.609,2021,43,"Yes",1,0.609,2021,"4/07-Flares assumed to be passive (LFG Specialties indicated in 2004 that flare(s) was in place).; 7/08-Installing GCCS & flare.; 2012-55 wells, system capacity=1400 acfm.; 5/14-Currently flaring 600 scfm at 50% methane."
"13",NA,2006,"Blount County/Nectar/Hayden LF & TS","AL",NA,"2390 Armstrong Loop","Hayden","Blount","35079",33.8888,-86.712,"No","Public","Blount County, AL","Blount County, AL",1980,1994,"Closed",160,NA,NA,NA,NA,NA,NA,22880,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"14",1004415,2408,"Brundidge Landfill","AL",NA,"515 Cleanwater Drive","Brundidge","Pike","36010",31.7041,-85.8299,"No","Private","Brundidge Acquisitions","Brundidge Acquisitions",2001,2397,"Open",NA,NA,NA,NA,23947035,886054,2021,59,2021,"No","Not used","No",NA,"No",NA,NA,NA,"Unknown",NA,NA,NA,NA
"15",NA,6,"Calhoun County SLF","AL","Anniston SLF","3625 Morrisville Road","Anniston","Calhoun","36201",33.675,-85.92,"No","Public","Calhoun County Commission, AL","Calhoun County Commission, AL",1969,1993,"Closed",NA,NA,NA,NA,NA,4350000,NA,7252,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"16",1001633,23,"Cedar Hill Landfill","AL","Harmons SLF MSWLF, Urban Sanitation Corporation SLF","1319 N. Business Creek Road","Ragland","St. Clair","35131",33.68345,-86.25272,"No","Private","WM","WM",1975,2021,"Closed",NA,50,NA,100,5549276,5398965,2021,58150,2021,"Yes","Several times per year","No",2.561,"Yes",0.856,2021,46.8,"Yes",1,0.276,2021,"9/10-19 vertical & 1 horizontal gas well, system installed ~1998, 1 candlestick flare.; 2012-51 wells, system capacity=1800 acfm."
"17",1007813,8,"Chastang SLF","AL","City of Mobile SLF MSWLF","17045 Highway 43","Mt. Vernon","Mobile","36560",31.06179,-88.02503,"No","Public","City of Mobile, AL","WM",1976,2151,"Open",199,102.6,NA,116,34201127,7985345,2021,208887,2021,"No","Occasionally but not every year","No",3.92,"Yes",0.824,2021,38.5,"Yes",1,0.824,2021,"9/10-100 wells over 87 acres, system installed in 2000, 1 open flare.; 2010-101 wells, system capacity=3000 scfm."
"18",NA,2409,"Chilton County Landfill","AL",NA,"300 Industrial Drive","Thorsby","Chilton","35171",32.9285,-86.7405,"No","Private","Republic Services, Inc.","Republic Services, Inc.",NA,NA,"Closed",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"Unknown",NA,NA,NA,NA
"19",1010661,2,"City of Decatur-Morgan County Regional MSW Landfill","AL","Decatur SLF MSWLF; Morgan County Regional Landfill","500 Landfill Drive","Trinity","Morgan","35673",34.6175,-87.10163,"No","Public","City of Decatur, AL; Morgan County, AL","City of Decatur, AL",1980,2051,"Open",223.4,72,80,60,11360146,6556314,2021,234769,2021,"No","Occasionally but not every year","No",2.542,"Yes",0.817,2021,58.4,"Yes",NA,0.077,2021,"10/03-GCCS being installed now, 12 wells initially with an additional 55-60 wells later.; 1/05 - ~80 vertical wells installed.; 12/11-Most recent GCCS expansion in Spring 2011."
"20",1010957,19,"City of Dothan SLF MSWLF","AL",NA,"1290 Burkett Road","Dothan","Houston","36303",31.238766,-85.356721,"No","Public","City of Dothan, AL","City of Dothan, AL",1977,2071,"Open",49.3,NA,NA,NA,5666850,3860211,2021,26649,2021,"No","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"21",1006186,9,"Coffee County Sanitary Landfill","AL",NA,"7733 Highway 125","Elba","Coffee","36323",31.507053,-86.000975,"No","Public","Coffee County Commission, AL","Coffee County Sanitary Landfill",1993,2048,"Open",450,61.6,NA,60,6765340,4471043,2021,256681,2021,"No","Not used","No",3.016,"Yes",0.426,2021,50.6,"Yes",NA,0.426,2021,"12/06-4 passive candlestick flares; 1/07-Adding 5th passive flare in couple weeks.; 11/10-Active gas collection & destruction began in late 2009.; 2012-39 wells, system capacity=1400 acfm."
"22",NA,3,"Cullman County SLF","AL",NA,"Highway 69
near Cold Springs",NA,"Cullman",NA,NA,NA,"No","Public","Cullman County Commission, AL","Cullman County Commission, AL",1974,1993,"Closed",75,NA,NA,30,NA,912793,1993,73255,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"23",1007382,4,"Cullman Environmental Waste Management Center","AL",NA,"2805 AL Highway 69 South","Cullman","Cullman","35057",34.02878,-86.90069,"No","Private","Cullman Environmental, Inc.","Cullman Environmental, Inc.",1993,2040,"Open",NA,29,NA,60,2937045,2062592,2021,97965,2021,"Yes","Several times per year","No",0.603,"No",NA,NA,NA,"No",NA,NA,NA,NA
"24",1007018,15,"Eastern Area Landfill","AL",NA,"2787 Alton Drive","Birmingham","Jefferson","35210",33.5978,-86.6288,"No","Public","City of Birmingham, AL","City of Birmingham, AL",1974,2038,"Open",72,48,NA,NA,5421445,4435147,2021,39947,2021,"No","Not used","No",1.83,"No",NA,NA,NA,"No",NA,NA,NA,NA
"25",NA,35,"Florence SLF MSWLF","AL",NA,"29485 Waterloo Road & Savannah Highway
State Highway 20","Florence","Lauderdale","35630",34.806005,-87.714765,"No","Public","City of Florence Public Works, AL","City of Florence Public Works, AL",1988,2015,"Closed",37,17,NA,NA,NA,1361816,2009,64010,2007,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"26",NA,34,"Florence SLF MSWLF (Old)","AL",NA,"Irvine Avenue","Florence","Lauderdale","35630",34.803,-87.7058,"No","Private","Hensley-Graves Holdings LLC",NA,1972,1988,"Closed",NA,39,NA,NA,NA,1461912,NA,NA,NA,"Unknown","Not used","No",NA,"Yes",NA,NA,50,"No",NA,NA,NA,NA
"27",1005839,11,"Huntsville MSWLF","AL",NA,"4100 Leeman Ferry Road SW","Huntsville","Madison","35804",34.6885,-86.592,"No","Public","City of Huntsville S.W. Disposal Authority","City of Huntsville S.W. Disposal Authority",1946,2060,"Open",215,191,40,NA,NA,12774177,2021,422697,2021,"No","Not used","No",2.09,"No",NA,NA,NA,"No",NA,NA,NA,"2010-Passive venting only now."
"28",NA,10,"Irvington SLF","AL",NA,"7195 Half Mile Road","Irvington","Mobile","36544",30.490688,-88.210629,"No","Public","Mobile County Commission","McCrory & Williams",1974,1981,"Closed",80,NA,30,NA,NA,967998,NA,NA,NA,"Unknown","Not used","No",NA,"Yes",NA,NA,50,"No",NA,NA,NA,NA
"29",1004014,25,"Jefferson County LF No. 1","AL","Mt. Olive SLF MSWLF","101 Barber Boulevard","Gardendale","Jefferson","35071",33.711,-86.873,"No","Public","Jefferson County, AL","Republic Services, Inc.",1982,2060,"Open",163.7,70.4,NA,NA,18952387,6030109,2021,463145,2021,"No","Not used","No",1.6,"No",NA,NA,NA,"No",NA,NA,NA,NA
"30",1005680,13,"Jefferson County LF No. 2","AL","Turkey Creek SLF MSWLF","7035 Narrows Road","Pinson","Jefferson","35126",33.7077,-86.7104,"No","Public","Jefferson County, AL","Republic Services, Inc.",1982,2100,"Open",NA,65.9,NA,NA,3483997,1665315,2021,1,2021,"No","Not used","No",1.1,"No",NA,NA,NA,"No",NA,NA,NA,NA
"31",1007875,20,"Magnolia Subtitle D MSW LF","AL",NA,"15140 County Road 49","Summerdale","Baldwin","36580",30.45727,-87.7761,"No","Public","Baldwin County, AL","Baldwin County, AL",1997,2036,"Open",96,47.9,NA,10,6408237,4541582,2021,204333,2021,"No","Not used","No",3.023,"Yes",0.528,2021,52,"Yes",NA,0.528,2021,"12/07-7 wells in, 1 flare going in Spring 08.; 2012-23 wells, system capacity=1200 acfm."
"32",NA,31,"Monroe County SLF","AL",NA,NA,"Monroeville","Monroe",NA,31.59573,-87.33187,"No","Public","Monroe County Commission, AL",NA,1982,1998,"Closed",NA,69.5,NA,NA,NA,1205385,1998,75337,1998,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"33",1002464,2011,"Morris Farm Landfill","AL","Lawrence County Disposal, Inc.","4 County Road 418","Hillsboro","Lawrence","35643",34.70381,-87.22116,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1997,2061,"Open",148,55,NA,NA,16643163,6893051,2021,283520,2021,"No","Not used","No",2.38,"Yes",1.157,2021,52.2,"Yes",1,1.157,2021,"2012-40 wells, system capacity=2500 acfm.; 2/22-Utility (candlestick) flare installed in 2006."
"34",1006028,14,"New Georgia MSWLF","AL","Birmingham SLF","2800 47th Avenue North","Birmingham","Jefferson","35207",33.585,-86.815,"No","Public","City of Birmingham, AL","City of Birmingham, AL",1970,2030,"Open",NA,149,60,NA,9644756,7781050,2021,7034,2021,"No","Not used","No",NA,"Shutdown",1.3,NA,50,"Yes",1,1.3,NA,"3/10-90 wells installed in 1990, 10 wells added in 2003, 100% coverage of LF."
"35",1006957,18,"North Montgomery SLF MSWLF","AL",NA,"115 Division Street","Montgomery","Montgomery","36104",32.4131,-86.3245,"No","Public","City of Montgomery, AL","City of Montgomery, AL",1969,2040,"Open",348,48.7,NA,NA,NA,11174342,2021,212646,2021,"No","Not used","No",2.47,"Yes",0.488,2021,48.1,"Yes",1,0.488,2021,"4/05-Flare is used 1-2 days/month on average for pressure regulation and when the end user is not running.; 10/11-Total of 64 wells installed as of 2008.; 2012-79 wells, system capacity=1500 acfm."
"36",1002646,22,"Pine View SLF MSWLF","AL","Walker County Disposal, Inc.","2730 Bryan Road","Dora","Walker","35062",33.71458,-87.04981,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1993,2025,"Open",166,87.2,NA,75,20503092,11211806,2021,234872,2021,"No","Not used","No",4.78,"Yes",1.822,2021,55.4,"Yes",1,1.822,2021,"5/03-Plan to install collection system in 2003.; 12/08-43 extraction wells, 3 condensate sumps, & a utility flare.; 9/10-81 wells over 70 acres, 1 candlestick flare.; 2012-84 wells, system capacity=4000 acfm."
"37",1003265,17,"Salem Landfill","AL","Opelika Sanitary LF; Salem Waste Disposal, Inc. MSWLF","4210 Lee Road 183","Opelika","Lee","36804",32.65347,-85.2636,"No","Private","WM","WM",1985,2069,"Open",222,107,NA,NA,33432502,13007547,2021,468746,2021,"No","Not used","No",4.93,"Yes",2.503,2021,53,"Yes",1,2.503,2021,"2012-81 wells, system capacity=2500 scfm."
"38",1006304,2410,"Sand Valley Landfill","AL","Lebanon Landfill; GEK, Inc.","3345 County Road 209","Collinsville","DeKalb","35961",34.342,-85.862,"No","Private","Republic Services, Inc.","Republic Services, Inc.",1997,2063,"Open",318.9,83,NA,NA,28041435,10248803,2021,523669,2021,"No","Not used","No",3.108,"Yes",3.049,2021,50.9,"Yes",1,1.012,2021,"12/08-33 extraction wells, 1 condensate sump, and a utility flare.; 2012-71 wells, system capacity=4000 acfm.; 1/14-Zink candlestick flare was installed in 2003."
"39",NA,30,"Saraland SLF","AL",NA,NA,NA,"Mobile",NA,NA,NA,"No","Public","City of Saraland, AL","City of Saraland, AL",1969,1993,"Closed",NA,NA,NA,NA,NA,850705,NA,13633,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"40",1004860,11821,"Scottsboro Landfill","AL",NA,"650 County Road 412","Hollywood","Jackson","35768",34.756,-85.919,"No","Public","City of Scottsboro, AL","City of Scottsboro, AL",1970,2025,"Open",NA,97,NA,65,NA,1142867,2021,49152,2021,"Yes","Several times per year","No",0.331,"Shutdown",0.229,2018,45.7,"Yes",NA,NA,NA,"11/10-Installing 12 wells and a flare.; 2012-12 wells, system capacity=400 acfm."
"41",NA,12,"Shannon SLF","AL",NA,"2785 Shannon Oxmoor Road","Birmingham","Jefferson","35211",33.42488,-86.85479,"No","Public","Jefferson County, AL","Jefferson County, AL",1972,1993,"Closed",NA,NA,NA,NA,NA,9324502,NA,NA,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"42",1007082,5,"Shelby County Highway 70 Landfill","AL","(Sheala) SLF","4154 Highway 70
401 Landfill Road","Columbiana","Shelby","35051",33.171785,-86.687566,"No","Public","Shelby County, AL","Shelby County, AL",1997,2055,"Open",89.5,35.5,60,50,4520250,3789558,2021,207795,2021,"No","Not used","No",1.04,"Yes",0.571,2021,51.6,"Yes",NA,0.571,2021,NA
"43",NA,32,"Shoals Solid Waste Disposal Authority (SSWDA) LF","AL","Colbert County SLF","2015 Missouri Street Highway 43 S","Tuscumbia","Colbert","35674",34.694,-87.6609,"No","Public","Shoals Solid Waste Disposal Authority, AL","Colbert County Commission, AL",1967,2020,"Closed",130,60,125,100,5300000,3200000,2009,200000,2009,"Unknown","Not used","No",NA,"Yes",NA,NA,20,"Yes",NA,0.32,NA,"8/10-Collection system for 1/3 of site online 6/10.; 11/10-74 wells installed but shut down 20 of them due to leaks in system, plan to add more wells in 2011."
"44",1006790,7,"Star Ridge Landfill","AL","Acmar Coal County SLF; Acmar Regional Landfill MSWLF","3301 Acmar Road","Moody","St. Clair","35004",33.60527,-86.51658,"No","Private","WM","WM",1983,2128,"Open",308,47.1,NA,75,43939474,5375496,2021,255744,2021,"Yes","Several times per year","No",2.01,"Yes",1.007,2021,49,"Yes",1,1.007,2021,"9/10-33 vertical & 3 horizontal wells, system installed in 1999, 1 candlestick flare.; 2010-52 wells, system capacity=1800 acfm."
"45",1006183,11581,"Stones Throw Landfill, LLC","AL","Tallassee Waste Disposal Center; Sunflower Landfill Inc.","1303 Washington Boulevard","Tallassee","Tallapoosa","36078",32.5154,-85.8311,"No","Private","GFL Environmental USA Inc.","GFL Environmental USA Inc.",1982,2063,"Open",124.6,45.3,NA,NA,30502398,7157832,2021,298162,2021,"No","Not used","No",2.488,"Yes",2.109,2021,52.9,"Yes",NA,2.109,2021,"9/09-GCCS under construction, expected to be operational by 1/31/10.; 1/11-LFG system was completed during summer 2010.; 2012-31 wells, system capacity=2000 acfm."
"46",1007796,2204,"Three Corners Landfill","AL",NA,"2205 County Road 6","Piedmont","Cherokee","36272",33.9962,-85.7254,"No","Private","WM","WM",1998,2171,"Open",NA,67,NA,NA,30307137,5680508,2021,176047,2021,"Yes","Several times per year","No",2.191,"Yes",1.139,2021,47.8,"Yes",NA,0.529,2021,"2012-38 wells, system capacity=3000 scfm."
"47",1007274,21,"Timberlands Landfill","AL","Escambia County Environmental Corporation; Escambia SLF","22800 Highway 41","Brewton","Escambia","36426",31.2593,-87.1923,"No","Private","Escambia County Environmental Corp.","Republic Services, Inc.",1993,2066,"Open",NA,105.6,NA,NA,22340335,14356863,2021,208946,2021,"No","Not used","No",6.27,"Yes",1.945,2021,43.9,"Yes",NA,1.945,2021,"2012-95 wells, system capacity=4000 acfm."
"48",1011271,11982,"Turkey Trot Landfill, LLC","AL",NA,"2328 Mannish Ryan Road","Citronelle","Washington","36522",31.15848,-88.19,"No","Private","GFL Environmental USA Inc.","GFL Environmental USA Inc.",2010,2124,"Open",300,NA,NA,NA,23280092,2202104,2021,164426,2021,"Yes","Occasionally but not every year","No",NA,"Yes",0.392,2021,54.9,"Yes",NA,0.392,2021,NA
"49",NA,33,"Valley View SLF","AL","Stevenson SLF",NA,"Stevenson","Jackson","35772",NA,NA,"No","Private","WM","WM",1979,1995,"Closed",15,NA,NA,NA,NA,752393,NA,18241,NA,"Unknown","Not used","No",NA,"Yes",NA,NA,50,"Yes",NA,NA,NA,NA
"50",NA,2015,"Walker County Landfill (Carbon Hill)","AL",NA,NA,"Jasper","Walker",NA,33.875,-87.2465,"No","Public","Walker County, AL","Walker County, AL",NA,NA,"Closed",57,NA,NA,NA,NA,NA,NA,3575,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"51",NA,2009,"Willow Ridge Landfill","AL","Haleyville Regional Landfill","10512 Highway 13","Haleyville","Winston","35565",34.17569,-87.60779,"No","Public","Haleyville Solid Waste Disposal Authority","Republic Services, Inc.",1983,2050,"Open",265,NA,NA,NA,NA,NA,NA,47190,NA,"Unknown","Not used","No",NA,"No",NA,NA,NA,"No",NA,NA,NA,NA
"52",NA,11542,"Ashley County Landfill","AR",NA,"309 Ashley 438 Road","Hamburg","Ashley","71646",33.212,-91.84759,"No","Public","Ashley County, AR",NA,NA,NA,"Open",20,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"53",1002222,11550,"Cherokee Village Landfill","AR","Cherokee Sanitary Landfill","100 Landfill Road","Cherokee Village","Fulton","72529",36.28126,-91.63128,"No","Private","Waste Connections, Inc.","Waste Connections, Inc.",1975,2041,"Open",90,31.1,NA,NA,6490730,3095961,2021,204577,2021,"No","Not used","No",0.942,"No",NA,NA,NA,"No",NA,NA,NA,NA
"54",1005318,11544,"City of Conway Landfill","AR",NA,"4550 Highway 64 West","Conway","Faulkner","72032",35.1119,-92.5068,"No","Public","City of Conway, AR","City of Conway, AR",1991,2072,"Open",125,66,NA,NA,8301177,3263145,2021,68514,2021,"No","Not used","No",1.33,"No",NA,NA,NA,"No",NA,NA,NA,NA
"55",1006026,2052,"City of Fort Smith Landfill","AR",NA,"5900 Commerce Road","Fort Smith","Sebastian","72916",35.2926,-94.3704,"No","Public","City of Fort Smith Department of Sanitation, AR","City of Fort Smith Department of Sanitation, AR",1981,2061,"Open",555,148.2,160,80,47823137,10522765,2021,247055,2021,"No","Not used","No",4.403,"Yes",2.739,2021,55.9,"Yes",1,0,2021,"8/07-GCCS consists of 70 vertical wells, 13 horizontal wells, & 63,000 linear feet of collection pipe, system is installed on an 80-acre closed landfill and an adjacent 550-acre operating landfill.; 2012-146 wells, system capacity=3000 acfm."
"56",NA,11547,"City of Helena - West Helena Regional LF","AR",NA,"1448 B Phillips Highway 217","West Helena","Phillips","72390",34.56726,-90.629,"No","Public","City of Helena - West Helena, AR",NA,NA,NA,"Open",37,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"57",NA,11541,"City of Hope Landfill","AR",NA,"3759 Highway 67 West","Hope","Hempstead","71801",33.6422,-93.6781,"No","Public","City of Hope, AR",NA,NA,NA,"Open",82.5,NA,NA,NA,1110000,NA,NA,NA,NA,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"58",1011631,11546,"City of Morrilton Landfill","AR",NA,"51 Dump Road","Morrilton","Conway","72110",35.1297,-92.6976,"No","Public","City of Morrilton, AR",NA,1994,2044,"Open",30,NA,NA,NA,1367651,985365,2021,75572,2021,"No","Several times per year","No",NA,"No",NA,NA,NA,"Unknown",NA,NA,NA,NA
"59",1005397,2291,"Craighead County Solid Waste Disposal Authority LF","AR","Legacy Landfill","238 County Road 476","Jonesboro","Craighead","72404",35.719434,-90.68862,"No","Public","Craighead County Solid Waste Disposal Authority","Craighead County Solid Waste Disposal Authority",1991,2030,"Open",310,60.9,NA,100,4050450,2560902,2021,114702,2021,"Yes","Several times per year","No",NA,"Yes",1.03,2021,47.4,"Yes",NA,1.03,2021,NA
"60",1002732,10500,"Crittenden County Sanitary Landfill","AR",NA,"1299 Kuhn Road","West Memphis","Crittenden","72301",35.13597,-90.25606,"No","Public","Crittenden County, AR",NA,1989,2030,"Open",NA,52,NA,NA,3887482,2385247,2021,111479,2021,"No","Not used","No",0.83,"No",NA,NA,NA,"No",NA,NA,NA,NA
"61",1003406,2282,"Eco-Vista Landfill","AR","Tontitown Landfill","2210 Waste Management Drive","Springdale","Washington","72762",36.140147,-94.256073,"Yes","Private","WM","WM",1980,2023,"Open",147,124.9,NA,120,14227685,10773582,2021,645369,2021,"No","Not used","No",3.826,"Yes",3.072,2021,52.8,"Yes",2,0.986,2021,"4/07-Flare was lit October 2001.; 2012-140 wells, system capacity=6150 acfm."
"62",NA,11441,"EMS Class 1 Landfill","AR",NA,"203 Possum Waller Road","DeWitt","Arkansas","72042",34.311,-91.272,"No","Private","Eaton-Moery Environmental Services",NA,NA,NA,"Open",30.5,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"63",NA,11442,"Jackson County Landfill","AR",NA,"2069 Jackson CR-265","Amagon","Jackson","72005",35.5894,-91.0922,"No","Public","Jackson County, AR",NA,NA,NA,"Open",27,NA,NA,NA,841045,NA,NA,NA,NA,"Unknown","Not used","No",NA,"Unknown",NA,NA,NA,"Unknown",NA,NA,NA,NA
"64",1003615,2283,"Jefferson County Landfill","AR",NA,"6000 Gravel Pit Road","White Hall","Jefferson","71602",34.34676,-92.19214,"No","Private","WM",NA,1992,2036,"Open",66,45.1,NA,100,5845066,3829746,2021,114937,2021,"Yes","Occasionally but not every year","No",1.854,"Yes",0.681,2021,51.4,"Yes",1,0.681,2021,"2012-14 wells, system capacity=2000 acfm."
