"","X","LEA_NAME","SCH_NAME","isCHARTER","magnetSchoolStatus","city","MEMBER","zip","PctFreeLunch","SCH_TYPE_TEXT","TOTFRL","Census_AttainDiplomHigher","Census_LangHomeNotEnglish","Census_Pop25older","Census_TotalHouseholds","LAT","LON","AttendRate","PctProfELA","raceWHITE","numberHispanic","LEAID","NCESSCH"
"54",54,"Pleasant Valley SD","Pleasant Valley HS","No","No","Brodheadsville",1749,18322,"41.337907375643198","Regular School",723,21901,2594,24368,11765,40.91467,-75.41429,92.05,85.34,1329,24,4219290,421929003210
"55",55,"Philadelphia City SD","Sharswood George Sch","No","No","Philadelphia",576,19148,"100","Regular School",576,855213,325401,1035252,582594,39.918735,-75.151114,92.28,37.5,285,0,4218990,421899003653
"56",56,"Blue Ridge SD","Blue Ridge El Sch","No","No","New Milford",523,18834,"45.506692160611799","Regular School",238,4852,244,5541,3249,41.873446,-75.725138,95.58,60.09,484,0,4203900,420390006891
"57",57,"Philadelphia City SD","Kensington Urban Education Academy","No","No","Philadelphia",344,19125,"100","Regular School",344,855213,325401,1035252,582594,39.98481,-75.126911,NA,NA,19,0,4218990,421899007350
"58",58,"Perkiomen Valley SD","Skippack El Sch","No","No","Collegeville",730,19426,"8.4931506849314999","Regular School",62,24408,3396,26132,12508,40.218514,-75.41972,NA,NA,637,0,4218930,421893000382
"59",59,"Boyertown Area SD","Boyertown Area JHS-West","No","No","Boyertown",811,19512,"30.3329223181257","Regular School",246,31489,1225,34328,18524,40.32637,-75.63173,95.52,70.4,753,0,4203960,420396006305
"60",60,"Delaware Valley SD","Delaware Valley HS","No","No","Milford",1576,18337,"33.629441624365484","Regular School",530,18810,2299,20618,10463,41.348295,-74.739222,93.91,89.69,1298,1,4207530,420753005261
"61",61,"Western Montgomery CTC","Western Montgomery CTC","No","No","Limerick",0,19468,"?","Vocational Education School",0,NA,NA,NA,NA,40.236466,-75.507877,NA,NA,0,0,4280360,428036007082
"62",62,"Owen J Roberts SD","Owen J Roberts HS","No","No","Pottstown",1577,19465,"16.043119847812299","Regular School",253,22008,1874,23451,12325,40.176805,-75.656453,94.79,88.43,1401,0,4218270,421827001406
"63",63,"Wilkes-Barre Area SD","Elmer L Meyers JSHS","No","No","Wilkes Barre",885,18702,"100","Regular School",885,34249,7130,39729,23215,41.23902,-75.908167,92.11,42.04,363,1,4226300,422630003009
"64",64,"West Chester Area SD","Sarah W Starkweather El Sch","No","No","West Chester",580,19382,"13.275862068965518","Regular School",77,69341,10378,72305,41059,39.931552,-75.589204,NA,NA,457,1,4225290,422529010012
"65",65,"North Penn SD","General Nash El Sch","No","No","Harleysville",360,19438,"18.055555555555557","Regular School",65,68031,17577,72148,39113,40.2353,-75.346973,96.36,87.56,273,0,4217280,421728006907
"66",66,"West Side CTC","West Side CTC","No","No","Kingston",365,18704,"63.013698630136986","Vocational Education School",230,NA,NA,NA,NA,41.278754,-75.902306,88.95,31.45,318,0,4225870,422587005059
"67",67,"Pennridge SD","Pennridge South MS","No","No","Perkasie",487,18944,"27.310061601642701","Regular School",133,32011,3206,34300,18506,40.366918,-75.304931,93.97,68.74,442,0,4218750,421875001099
"68",68,"East Penn SD","Lincoln El Sch","No","No","Emmaus",401,18049,"39.152119700748131","Regular School",157,37069,5328,39672,22448,40.53974,-75.49474,95.91,70.47,311,0,4208550,420855002802
"69",69,"Northeastern York SD","York Haven El Sch","No","No","York Haven",259,17370,"56.37065637065637","Regular School",146,14414,1394,16488,9009,40.106905,-76.71766,NA,NA,227,0,4217520,421752009988
"70",70,"Central Dauphin SD","Phillips El Sch","No","No","Harrisburg",364,17109,"58.516483516483518","Regular School",213,61115,9050,66113,37434,40.29249,-76.80378,96.41,50.54,163,0,4205400,420540001779
"71",71,"Salisbury Township SD","Salisbury MS","No","No","Allentown",379,18103,"31.926121372031599","Regular School",121,9459,1512,10204,5284,40.559977,-75.503019,94.89,61.97,291,0,4220730,422073005365
"72",72,"Hazleton Area SD","Valley El/MS","No","No","Sugarloaf",1002,18249,"100","Regular School",1002,42540,16452,49823,28188,40.988398,-76.07496,NA,NA,921,0,4211700,421170009996
"73",73,"Stroudsburg Area SD","B F Morey El Sch","No","No","Stroudsburg",225,18360,"50.2222222222222","Regular School",113,20357,5462,22891,11713,40.98384,-75.202036,94.65,57.3,117,2,4222860,422286003221
"74",74,"Neshaminy SD","Neshaminy HS","No","No","Langhorne",2497,19047,"21.065278334000801","Regular School",526,47567,7513,50548,25284,40.15849,-74.948046,92.44,81.23,2136,1,4216410,421641006455
"75",75,"Reading SD","Tenth & Penn El Sch","No","No","Reading",559,19601,"100","Regular School",559,32672,43160,49945,29019,40.33539,-75.918426,NA,NA,24,0,4220040,422004000284
"76",76,"Philadelphia City SD","Randolph A. Philip AVT HS","No","No","Philadelphia",554,19129,"100","Vocational Education School",554,855213,325401,1035252,582594,40.009023,-75.179223,NA,NA,9,0,4218990,421899000826
"77",77,"Montoursville Area SD","C E McCall MS","No","No","Montoursville",614,17754,"27.850162866449512","Regular School",171,9017,289,9807,5427,41.25499,-76.90637,96.06,72.88,582,2,4215750,421575005343
"78",78,"Collegium CS","Collegium CS","Yes","No","Exton",2663,19341,"26.286143447239954","Regular School",700,NA,NA,NA,NA,40.01991,-75.660071,NA,NA,1253,3,4200050,420005000485
"79",79,"Philadelphia City SD","Kensington Urban Education Academy","No","No","Philadelphia",344,19125,"100","Regular School",344,855213,325401,1035252,582594,39.98481,-75.126911,NA,NA,19,0,4218990,421899007350
"80",80,"Daniel Boone Area SD","Birdsboro El Ctr","No","No","Birdsboro",409,19508,"45.965770171149146","Regular School",188,13430,1158,14645,7952,40.263357,-75.814887,NA,NA,344,1,4207290,420729009946
"81",81,"Philadelphia Montessori CS","Philadelphia Montessori CS","Yes","No","Philadelphia",172,19142,"-0.58139534883720934","Regular School",-1,NA,NA,NA,NA,39.916443,-75.245469,NA,NA,3,0,4200130,420013000849
"82",82,"East Penn SD","Alburtis El Sch","No","No","Alburtis",319,18011,"35.109717868338556","Regular School",112,37069,5328,39672,22448,40.507803,-75.606476,96.14,69.18,226,0,4208550,420855002799
"83",83,"Council Rock SD","Council Rock HS North","No","No","Newtown",1724,18940,"7.5406032482598597","Regular School",130,49287,8984,50630,26086,40.23135,-74.945271,95.68,84.96,1497,1,4206960,420696005096
"84",84,"Lower Dauphin SD","Lower Dauphin HS","No","No","Hummelstown",1156,17036,"19.463667820069205","Regular School",225,16276,1234,17910,10040,40.26002,-76.705837,94.67,86.9,1019,0,4214100,421410001776
"85",85,"Shikellamy SD","Shikellamy MS","No","No","Sunbury",416,17801,"57.932692307692307","Regular School",241,13977,621,16295,9595,40.856472,-76.791304,NA,NA,335,1,4221540,422154007395
"86",86,"KIPP Philadelphia Charter School","KIPP Philadelphia Charter School","Yes","No","Philadelphia",746,19132,"92.493297587131295","Regular School",690,NA,NA,NA,NA,39.994416,-75.154137,NA,NA,3,0,4200122,420012200758
"87",87,"Arts Academy Elementary Charter School","Arts Academy Elementary Charter School","Yes","No","Allentown",376,18101,"99.202127659574472","Regular School",373,NA,NA,NA,NA,40.60014,-75.469081,NA,NA,55,0,4200883,420088307561
"88",88,"Tredyffrin-Easttown SD","Hillside El Sch","No","No","Berwyn",434,19312,"5.5299539170506904","Regular School",24,27390,5536,27926,15829,40.056673,-75.455739,96.28,90.96,287,0,4223640,422364001439
"89",89,"Wissahickon SD","Lower Gwynedd El Sch","No","No","Ambler",560,19002,"18.571428571428573","Regular School",104,25510,5516,26539,14364,40.167533,-75.231333,NA,NA,368,0,4202400,420240000304
"90",90,"Perkiomen Valley SD","Perkiomen Valley HS","No","No","Collegeville",1781,19426,"15.1038742279618","Regular School",269,24408,3396,26132,12508,40.219041,-75.459067,96.91,90.56,1512,2,4218930,421893003328
"91",91,"Bristol Township SD","Roosevelt MS","No","No","Bristol",524,19007,"63.931297709923598","Regular School",335,32835,6020,37338,19440,40.107268,-74.881083,95.18,55.02,283,1,4204230,420423001027
"92",92,"Northwest Area SD","Northwest Area Intermediate Sch","No","No","Shickshinny",231,18655,"46.320346320346317","Regular School",107,5761,126,6421,3397,41.222018,-76.113,95.07,55.36,225,0,4217790,421779002955
"93",93,"Philadelphia City SD","Penrose Sch","No","No","Philadelphia",612,19153,"100","Regular School",612,855213,325401,1035252,582594,39.907484,-75.248404,91.84,28.06,7,0,4218990,421899003616
"94",94,"Philadelphia City SD","Shawmont Sch","No","No","Philadelphia",518,19128,"100","Regular School",518,855213,325401,1035252,582594,40.051494,-75.238579,94.52,48.37,230,0,4218990,421899003725
"95",95,"Hanover Area SD","Hanover Area Memorial El Sch","No","No","Hanover Township",482,18706,"100","Regular School",482,9900,517,10862,6544,41.227244,-75.922078,NA,NA,350,0,4211420,421142007205
"96",96,"Abington SD","McKinley Sch","No","No","Elkins Park",658,19027,"15.501519756838906","Regular School",102,39062,6333,41165,22024,40.081847,-75.105853,96.23,84.05,509,1,4202040,420204005075
"97",97,"Northeastern York SD","Spring Forge Intrd Sch","No","No","Manchester",447,17345,"40.7158836689038","Regular School",182,14414,1394,16488,9009,40.061879,-76.710283,NA,NA,371,2,4217520,421752000525
"98",98,"Tunkhannock Area SD","Mill City El Sch","No","No","Dalton",229,18414,"43.668122270742302","Regular School",100,12619,375,13692,7485,41.49273,-75.839861,95.38,65.43,219,1,4223850,422385006992
"99",99,"Hazleton Area SD","West Hazleton El/MS","No","No","West Hazleton",841,18202,"100","Regular School",841,42540,16452,49823,28188,40.961242,-76.000975,NA,NA,194,0,4211700,421170000370
"100",100,"Chester CS for the Arts","Chester CS for the Arts","Yes","No","Aston",473,19014,"99.365750528541227","Regular School",470,NA,NA,NA,NA,39.84945,-75.405521,NA,NA,4,0,4200857,420085707437
"101",101,"Bristol Township SD","Armstrong MS","No","No","Fairless Hills",434,19030,"59.907834101382399","Regular School",260,32835,6020,37338,19440,40.165854,-74.855378,94.87,54.39,298,2,4204230,420423005305
"102",102,"Marple Newtown SD","Culbertson El Sch","No","No","Newtown Square",358,19073,"8.1005586592178709","Regular School",29,24988,5021,26581,13237,39.996319,-75.402117,96.47,77.25,332,1,4214760,421476001898
"103",103,"Seven Generations Charter School","Seven Generations Charter School","Yes","No","Emmaus",390,18049,"0","Regular School",0,NA,NA,NA,NA,40.53637,-75.485021,NA,NA,236,0,4200818,420081807148
"104",104,"Hempfield  SD","Mountville El Sch","No","No","Mountville",550,17554,"42","Regular School",231,31594,3969,33613,19006,40.041498,-76.427318,97.07,70.45,383,0,4211790,421179002576
"105",105,"Universal Vare Charter School","Universal Vare Charter School","Yes","No","Philadelphia",409,19145,"68.704156479217602","Regular School",281,NA,NA,NA,NA,39.926438,-75.186386,NA,NA,9,1,4200855,420085507421
"106",106,"North Pocono SD","Moscow El Sch","No","No","Moscow",573,18444,"39.9650959860383","Regular School",229,13907,806,15083,7957,41.33747,-75.534587,NA,NA,515,3,4217310,421731000128
"107",107,"Coatesville Area SD","Kings Highway El Sch","No","No","Coatesville",531,19320,"47.645951035781501","Regular School",253,39101,6662,43528,23329,40.012541,-75.88208,94.58,55.79,316,0,4206240,420624001375
"108",108,"Palmerton Area SD","S S Palmer El Sch","No","No","Palmerton",467,18071,"100","Regular School",467,9036,669,10494,5554,40.803101,-75.611316,NA,NA,437,0,4218360,421836007222
"109",109,"Springfield SD","Springfield HS","No","No","Springfield",1200,19064,"19.0833333333333","Regular School",229,18055,2383,18971,9468,39.928204,-75.337994,94.62,87.96,990,0,4222600,422260001950
"110",110,"Lancaster SD","Ross El Sch","No","No","Lancaster",361,17603,"100","Regular School",361,37681,23964,48158,27775,40.0507,-76.308,95.24,54.67,48,0,4213140,421314002587
"111",111,"Boyertown Area SD","Boyertown Area JHS-East","No","No","Gilbertsville",838,19525,"17.30310262529833","Regular School",145,31489,1225,34328,18524,40.314322,-75.578509,95.88,78.21,776,0,4203960,420396006804
"112",112,"Pennridge SD","Deibler El Sch","No","No","Perkasie",460,18944,"16.5217391304347","Regular School",76,32011,3206,34300,18506,40.39888,-75.27315,96.41,86.81,423,0,4218750,421875001054
"113",113,"Neshaminy SD","Joseph E Ferderbar El Sch","No","No","Feasterville",534,19053,"24.531835205992511","Regular School",131,47567,7513,50548,25284,40.150276,-74.994169,95.79,74.18,426,1,4216410,421641001069
"114",114,"Renaissance Academy CS","Renaissance Academy CS","Yes","No","Phoenixville",1060,19460,"20.943396226415","Regular School",222,NA,NA,NA,NA,40.12006,-75.547496,NA,NA,668,0,4200067,420006700511
"115",115,"Wallenpaupack Area SD","Wallenpaupack Pri Sch","No","No","Hawley",433,18428,"52.886836027713599","Regular School",229,17468,1750,18875,10376,41.457282,-75.172455,NA,NA,377,2,4224750,422475000129
"116",116,"Stroudsburg Area SD","Stroudsburg JHS","No","No","Stroudsburg",818,18360,"35.574572127139298","Regular School",291,20357,5462,22891,11713,41.00095,-75.233977,NA,NA,477,16,4222860,422286000472
"117",117,"Philadelphia City SD","Lincoln HS","No","No","Philadelphia",1526,19136,"100","Regular School",1526,855213,325401,1035252,582594,40.042773,-75.043126,79.98,29.29,404,1,4218990,421899003845
"118",118,"Keystone Academy Charter School","Keystone Academy Charter School","Yes","No","Philadelphia",591,19135,"67.681895093062607","Regular School",400,NA,NA,NA,NA,40.02161,-75.045621,NA,NA,195,0,4200762,420076206103
"119",119,"Philadelphia City SD","Heston Edward Sch","No","No","Philadelphia",520,19131,"100","Regular School",520,855213,325401,1035252,582594,39.978067,-75.229557,89.17,19.01,3,0,4218990,421899005187
"120",120,"Pennsbury SD","Charles H Boehm MS","No","No","Yardley",725,19067,"19.724137931034484","Regular School",143,47722,6631,49998,26639,40.209149,-74.826879,NA,NA,572,0,4218840,421884009959
"121",121,"Unionville-Chadds Ford SD","Unionville El Sch","No","No","Kennett Square",380,19348,"11.578947368421","Regular School",44,16658,2490,17257,8515,39.893535,-75.726074,96.54,84.42,307,0,4224210,422421001442
"122",122,"Spring-Ford Area SD","Spring-Ford MS 8th Grade Ctr","No","No","Royersford",639,19468,"16.588419405320799","Regular School",106,31935,3916,33365,18307,40.187128,-75.53173,NA,NA,515,0,4222560,422256000836
"123",123,"Pennridge SD","Pennridge South MS","No","No","Perkasie",487,18944,"27.310061601642712","Regular School",133,32011,3206,34300,18506,40.366918,-75.304931,93.97,68.74,442,0,4218750,421875001099
"124",124,"Cocalico SD","Denver El Sch","No","No","Denver",503,17517,"35.785288270377734","Regular School",180,13666,1822,16263,8559,40.228422,-76.146745,96.16,79.51,433,0,4206270,420627002506
"125",125,"Pequea Valley SD","Pequea Valley HS","No","No","Kinzers",503,17535,"100","Regular School",503,7955,7722,12835,6704,40.020885,-76.06634,92.85,62.7,449,0,4218900,421890002649
"126",126,"Garnet Valley SD","Garnet Valley El Sch","No","No","Glen Mills",715,19342,"11.048951048951048","Regular School",79,20049,2379,20949,10329,39.870442,-75.513628,NA,NA,555,3,4210590,421059000316
"127",127,"Fleetwood Area SD","Richmond El Sch","No","No","Fleetwood",159,19522,"28.301886792452802","Regular School",45,10532,1536,11684,6366,40.486625,-75.833498,NA,NA,131,0,4209780,420978000860
"128",128,"Wayne Highlands SD","Wayne Highlands MS","No","No","Honesdale",470,18431,"43.829787234042556","Regular School",206,13093,644,14469,8016,41.559628,-75.25818,95.15,70.21,457,1,4224970,422497006865
"129",129,"Tacony Academy Charter School","Tacony Academy Charter School","Yes","No","Philadelphia",1070,19111,"72.803738317757009","Regular School",779,NA,NA,NA,NA,40.069114,-75.068193,NA,NA,347,1,4200821,420082106962
"130",130,"Allentown City SD","Mosser El Sch","No","No","Allentown",582,18109,"63.402061855670098","Regular School",369,55393,48180,71168,40221,40.608394,-75.445053,94.76,42.2,53,3,4202280,420228002779
"131",131,"Young Scholars Kenderton CS","Young Scholars Kenderton CS","Yes","No","Philadelphia",537,19140,"-0.18621973929236499","Regular School",-1,NA,NA,NA,NA,40.004878,-75.153999,NA,NA,1,0,4200877,420087707481
"132",132,"Philadelphia City SD","Taylor Bayard Sch","No","No","Philadelphia",549,19140,"100","Regular School",549,855213,325401,1035252,582594,40.007111,-75.1382,90.17,11.42,1,0,4218990,421899003755
"133",133,"Northwestern Lehigh SD","Weisenberg El Sch","No","No","Kutztown",424,19530,"13.679245283018869","Regular School",58,9981,709,10768,5536,40.591007,-75.709184,96.99,85.25,391,0,4217850,421785002819
"134",134,"Downingtown Area SD","Downingtown STEM Academy","No","No","Downingtown",789,19335,"3.6755386565272499","Regular School",29,46615,7494,48151,25390,40.008748,-75.714881,NA,NA,613,0,4207710,420771007401
"135",135,"Weatherly Area SD","Weatherly Area MS","No","No","Weatherly",136,18255,"49.264705882352899","Regular School",67,3607,89,3937,2109,40.939033,-75.817805,94.54,60.58,122,0,4225140,422514006838
"136",136,"Bristol Borough SD","Warren Snyder-John Birotti El Sch","No","No","Bristol",633,19007,"75.98736176935229","Regular School",481,5841,1015,6484,3795,40.098883,-74.857277,95.17,57.14,318,0,4204200,420420001013
