Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,4.184123692,7.343571085,8.59506429,4.083718775,0.167303078,4.678389386,9.75361582,7.990311646,12.71942637,8.263175138,5.421799514,5.772883425,2.545101961,2.036436094,0.848187899,5.390101588,6.327622074,-4.176818677,6.739561156,4.885841515,4.407673955,4.121604554,5.041769297,-3.194241893,2.92425143,5.913631425,5.286420149,6.083228432,13.37640019,9.49894448,0.071111021,-12.03601506,-7.142991335,-1.793435604,4.019541839,-0.346259916,4.821980293,3.664120729,
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.47592903,1.327575239,6.212444386,6.976155075,5.980019699,2.365193062,6.297055511,5.092821303,7.049711867,7.166891517,4.009152776,3.91086113,2.598642439,4.096860795,1.338248943,2.589663293,3.607278322,0.896974943,4.052844193,3.051391053,3.358143222,3.321295921,-2.230600171,4.627133241,5.249480511,4.101527898,2.574492714,5.769038185,3.878700006,3.529134884,-0.379883394,0.399007033,4.060134769,4.037946572,3.87904044,3.949140722,3.947341804,4.438243428,5.007096354,3.868657682,1.929386797,3.856686721,3.070798721,4.149374345,3.206642301,2.982870285,3.757657864,3.706699506,1.819678261,2.018182144,2.379561336,3.632720303,2.440049062,2.499851222,2.257825112,
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.537979317,2.648675113,4.138267582,6.124353738,3.480174918,5.642861411,3.008047798,4.472312782,6.275867166,5.546028411,5.114968735,6.207860972,4.890435421,3.942138086,-0.363735688,4.578445396,5.079980839,-0.210653522,5.356699873,1.731485369,-0.144294474,2.011254376,2.973088013,0.051275253,2.498678494,2.301392755,1.357167997,3.295880256,3.887074761,4.345641565,3.441627387,2.093524719,0.526809483,2.402118754,2.667983671,2.398314295,2.20501964,3.559966919,3.589987751,3.368407715,1.35051608,1.655854943,0.756156576,2.705743088,2.140682596,3.350831358,3.621510423,1.547263839,-3.799075048,1.928673056,2.807999932,0.757314346,0.321250822,0.353471066,0.862105019,
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.69999996,-22.60000039,-23.09999955,-19.70000002,-11.8000009,1.3000002,5.800000524,10.00000028,7.400000582,11.09999925,9.9,10.5999992,11.20000024,10.2000004,26.40000081,34.49999951,25.04899952,10.77242078,9.410653764,4.854339324,0.065922768,2.200000188,5.796678396,2,1.1,
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-13.74613505,9.063157935,4.13540742,6.273037903,3.967225609,4.612992896,13.8215186,-0.297883673,-1.459541143,21.32567073,2.746828711,-6.403964923,6.889050718,-0.726839562,0.697920236,7.942660976,11.46945304,-0.940575989,1.66495495,0.991055725,12.16327557,-1.05359982,3.715326991,0.155544005,11.78318018,3.250180458,5.503096119,5.031024368,1.34950223,3.49982214,4.996836451,1.009998366,-6.239999999,-3.829999997,-7.920000001,-8.000000001,-1.589999997,4.749999992,-1.009999996,-0.856864059,2.055807109,4.446519419,-1.223727959,4.833657762,0.900000003,5.384657398,4.785831951,5.048118783,3.468425425,3.785902543,4.191625681,4.01936553,4.594054218,4.660918184,-2.535865642,
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.978423063,5.212003509,4.351584282,6.956684733,3.56065984,3.155894982,3.868146947,4.194129625,6.629799795,5.957294895,3.985827384,5.295604394,6.381702052,4.565258123,-1.965941621,5.652745928,0.626154768,2.841896582,2.341073043,4.444054049,-0.279283635,0.594986941,0.311842752,2.466382633,1.651792863,1.822762124,2.306659419,4.72320892,3.469166821,3.137402435,1.833074292,1.53065481,-0.961873081,3.22697146,2.38475722,1.593157057,3.710549475,1.97544848,3.563040036,3.633817208,0.811463997,1.780452149,0.774536137,3.634800822,2.094221518,2.499464447,3.397471914,0.747103204,-2.284879004,2.694825538,1.796837889,0.158656858,0.003056057,1.295473353,1.373937182,
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.141280462,-3.426409821,4.730027971,6.650759111,5.29386284,3.575862727,1.078398672,3.842335632,2.877497976,2.097757586,-1.496841833,6.426367549,3.706165313,3.339312164,-4.895345445,0.884356331,4.983663721,1.255078034,6.535747407,6.781763875,9.954231171,2.23506634,-4.347822728,7.929839556,7.530324837,2.171141602,-1.500002949,3.40524529,-2.854160493,8.976134361,4.225799419,2.957710824,5.836172091,2.020400445,6.045198645,4.324284035,5.734688374,3.961012139,5.341449373,5.859992101,5.330410857,4.644470026,3.444044849,4.429629024,1.711577628,3.947013747,5.986515522,4.893393918,2.319226924,2.116850127,2.962750351,4.643023076,6.878995974,6.541486651,5.240447102,
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.043927977,6.128798781,-1.268016373,2.282819223,3.764545381,0.537613083,8.823314975,3.070773938,2.026081041,0.117019611,1.413339882,2.311498741,0.449327405,8.286426482,2.99838289,8.53489497,0.370353558,4.607825005,3.664621512,0.796878872,4.255303394,9.562196623,0.34598474,-1.778696687,8.517364995,7.955362728,-0.236336794,5.795592965,2.150267276,-0.60292848,9.069984461,0.232710763,3.461384935,1.315007272,5.716373867,11.01474387,6.316834735,7.307719633,7.404178966,1.820241893,6.613399555,4.353004323,7.802439898,4.478474349,8.661861605,6.253158604,5.655005118,7.29449815,2.962014371,8.446325183,6.521769448,6.452674754,3.649305084,4.047796031,3.979542067,
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227815,5.442685551,4.711561724,3.890126441,5.121277897,4.522919218,4.489896497,5.177026873,4.670156368,5.293294718,5.077287776,3.83312394,4.739567399,5.23953291,6.535944941,6.671868265,7.058636206,6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013596067,6.061093054,6.552633316,
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.900161854,2.334565695,3.430305883,3.396443714,2.683440657,4.20760202,6.054513744,10.94469205,-3.289881945,-9.117377144,-8.445355306,-7.272387803,-1.480214893,1.818011234,2.860189372,1.599999984,-1.099999858,3.499999792,-5.609999908,5.010949366,4.248025368,6.018122132,5.077522269,6.555566578,7.236192997,6.753133864,7.675350685,5.647005429,-4.219727062,0.054557983,1.583973961,0.23707389,1.281885084,1.55,2.967135479,
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999878,6.689998367,12.87000667,-0.250001485,3.929991545,4.110006115,3.092999787,4.790002789,4.29999896,5.299994794,2.491033565,3.614148289,6.023951196,6.980946984,6.768939709,6.468567672,8.292443822,6.245128341,2.539772469,4.334407088,2.100184109,3.588704571,5.412938243,4.480935152,2.926567217,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.66709743,10.45197189,10.5240552,10.5015672,10.42559649,9.071928711,9.598113867,8.421763564,8.981662578,-5.649649519,1.626508741,-3.497335933,7.567568824,-16.75422907,-14.80312631,5.185184972,9.154929219,14.17952014,26.13929577,6.495281921,-9.22640508,6.698897756,3.597051868,14.17114862,4.829180114,1.797000227,2.984519345,2.309707661,6.727329799,-1.596249086,-4.181784638,-3.825582728,0.307806938,3.148916191,4.378751399,4.22353068,2.06223949,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,1.538778853,0.612902596,2.217312979,0.022030197,1.022786105,1.2204836,
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.80000055,88.9576648,34.38957459,15.59999636,9.599999795,5.500000436,4.399999507,5.300000267,4.000000065,6.099999771,8.758230375,5.378476622,5.728757014,5.481507958,-2.86988112,0.767254045,0.908247974,-0.933187606,2.394191896,1.081875932,3.157576299,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2,-9.6,-7.6,-11.7,-10.4,2.8,11.4,8.4,3.4,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.4,10,8.6,10.2,0.2,7.740781216,5.543711461,1.731391223,1.073600801,1.723086003,-3.887698502,
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.892277219,4.89265218,4.956434195,4.99987991,4.930540961,4.770845113,4.913123162,7.367225457,5.106374791,4.807693364,3.959441082,10.21830384,5.351894111,13.55998517,3.592824442,-0.034020943,6.496594287,7.920807179,7.517021513,15.16651808,1.290639737,-0.283156225,-2.106017315,1.957945127,1.066849255,4.57425873,11.21577971,9.237596458,13.09084157,10.62857607,10.49704249,12.0357579,6.276563742,0.157938679,0.643973578,1.428722665,3.545178858,3.740956602,8.780371455,13.03876213,5.015662999,5.118559443,9.329248703,4.648087296,2.578008809,4.58160037,1.105586127,3.229101316,0.799202009,3.321036866,2.102218515,3.740823332,1.313220167,4.081916492,1.918485814,
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.68,4.47,1.07,11.11,4.76,14.36363636,13.27503975,2.105263158,3.436426117,6.312292359,3.4375,1.812688822,1.483679525,0.877192982,3.768115942,8.938547486,5.897435897,1.452784504,2.14797136,7.943925234,2.380952381,-5.285412262,2.008928571,0.481400438,-2.003484321,6.666666667,3.75,4.0562249,0.443844076,0.019212296,-3.534383404,-0.059737157,3.008567444,0.599613153,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,,,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.079983628,5.570225346,6.420701581,4.794559575,5.625017746,6.497295733,6.908867936,-12.16902795,3.09601364,-0.494821367,5.063336314,7.967485482,5.739161343,2.939568128,7.311017648,4.614567334,4.971216087,2.052694442,0.133344041,-1.371773316,0.27561674,-3.938737804,-4.042121789,-0.200671744,-1.676387096,-2.573877377,2.463479373,2.909505419,3.790128534,4.635787879,5.266522121,1.646500039,4.269294855,4.667266263,4.6782771,4.361340294,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564383902,6.148497195,3.357001259,4.126722565,5.204092718,5.122274661,6.796011706,5.460569752,3.961728072,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.27591155,5.21605942,0.874672592,3.485582304,3.053487894,4.150360233,4.915265675,11.42728238,9.73582689,8.769947472,11.29508684,12.05280225,13.97869165,9.042120313,5.209075901,9.790410161,4.606318061,3.231709563,6.766284965,9.110960155,-4.3933572,0.580245553,-3.409793474,5.26914315,7.945861749,7.988295105,3.599629467,-0.102672718,3.279458858,-3.102355949,1.511937238,-0.46691321,4.665168989,5.334551702,4.416731354,2.207535524,3.39502864,0.338356177,0.469066589,4.112564911,1.657817967,3.05316092,1.140319046,5.760880726,3.202051527,3.960502029,6.07228369,5.093767012,-0.126147415,7.528797381,3.910255348,1.915458623,3.015140511,0.103371359,-3.847362495,
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-1.982651797,-4.804045512,0.398406375,3.703703704,1.020408163,5.176767677,2.521008403,3.512880562,3.619909502,-3.27510917,-3.9503386,-5.640423032,0.747198007,1.977750309,2.060606061,4.038004751,4.680365297,3.707742639,0.315457413,4.507337526,-2.407221665,0.822199383,2.140672783,1.397205589,4.035433071,5.676442763,1.700984781,0.440140845,-4.031551271,0.273972603,0.72859745,0.27124774,0,0.180342651,0.99009901,
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,0.355463411,20.15539349,10.91669723,6.775834956,22.56242804,-6.99670269,-19.82671571,3.956654938,0.501465636,0.599876987,-1.490749208,-2.715469991,2.009129671,1.097366802,-1.07417796,1.089420296,3.145941139,4.758580798,0.3045733,3.145397381,4.478707189,2.878317974,-1.471171729,-0.558508698,3.052156688,2.849421759,2.744040816,3.872097249,2.903955133,0.504318384,0.387506909,4.397720159,0.15458146,-1.939714507,-1.764535725,2.598965911,3.429818477,0.948354662,-1.751960547,-2.339999835,-0.5,
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,13.90772904,3.413941475,11.31071362,4.482105129,4.211775036,11.73057663,28.69626536,4.987289699,7.432626446,10.87643469,-0.407876089,4.600891432,1.98636659,4.95150367,7.074117278,5.565172862,5.373838519,5.914030835,7.983972022,6.93302424,8.203773861,10.72784061,7.664334042,5.896408192,7.12255965,6.849365932,17.92582494,4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.458817312,3.254254739,
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.343283719,6.666667814,5.921045096,6.832300927,5.813955063,6.344019093,5.924559943,10.5670565,15.12340471,17.12026767,25.82110722,26.36194095,21.30318409,8.797795217,8.446250376,10.64737671,12.01204009,14.33280159,12.14858892,11.98690138,9.064857465,12.16553186,13.14672905,8.54538364,7.125271269,8.172924333,11.88192814,19.44996951,13.05940589,6.772821949,7.458709112,2.917070307,1.916107142,3.627916021,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894792,2.705821737,4.556645657,8.363871069,8.280147493,6.242117247,-7.652310203,8.563631748,6.048316367,4.456466273,9.860292657,3.203915093,-0.254733178,
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.953452755,-3.713640127,-0.707243873,2.080361128,0.947568959,0.644999293,4.67651461,1.404196755,7.091406507,2.332966053,1.130127004,-0.000782877,1.888768919,6.33914055,0.405003879,5.432442629,3.806281067,1.209223477,-2.465071279,-4.478599822,-1.544507465,7.715724618,-8.126447755,9.481555062,3.927278818,3.577966818,-4.939033174,1.71027296,1.977314602,-2.147642436,-0.552426929,-6.424094383,0.335145803,4.899999081,7.200002316,-4.000001352,5.300002643,4.69999386,3.600002931,-2.489450101,4.464782649,3.616488016,-5.397469236,5.994991726,0.908086104,3.639311187,4.607561983,2.054126562,1.709220967,3.046656852,3.300739707,2.898540636,-37.01195691,-1.257108489,5.48645856,
Canada,CAN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,3.163291684,7.116779267,5.181776082,6.699456682,6.636545139,6.584965408,2.91531036,5.295341864,5.260000826,3.25561362,4.117657617,5.44585558,6.964202919,3.690987649,1.822973129,5.199302435,3.458230601,3.953591265,3.804922884,2.162616891,3.503119536,-3.202024839,2.598572697,5.925350318,4.734082845,2.161815553,4.096464516,4.429400975,2.323973923,0.154346036,-2.125692233,0.882976026,2.655235883,4.493474619,2.677708436,1.611048031,4.279812433,3.881759144,5.1632109,5.182690286,1.770819089,3.010016308,1.802273312,3.085961209,3.201382137,2.623412623,2.06274769,1.000360973,-2.949587643,3.08351422,3.141219001,1.745472283,2.218068188,2.472892638,1.078268751,
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.739957754,-1.751237436,1.57793751,4.128627763,5.781903475,4.452610634,3.272759229,2.808599955,2.058896413,3.944016833,3.063550845,3.244888749,4.439711389,5.585305438,4.911562022,6.56721374,6.450407729,3.666408627,-3.751650797,1.973125806,3.111007686,0.541375878,1.2727673,2.772204032,3.397822043,
Switzerland,CHE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,1.601335856,-1.309417431,0.639079452,3.008456414,3.673595911,1.858632798,1.585478169,3.277596235,4.330794056,3.674625648,-0.91581658,-0.043732994,-0.125983535,1.269757686,0.480866434,0.601093571,2.312047342,2.944772466,1.64337202,3.946102508,1.446594802,0.143394375,0.049708149,2.842948357,3.038305348,4.012785508,4.140348369,2.277240085,-2.129618511,2.953816768,1.804553915,1.124629311,1.768830561,1.889476944,0.909636998,
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.770263675,5.826641469,-1.51296126,-1.632206598,-3.202156942,0.224197396,1.377734157,4.882299364,5.898329661,,,,,,,,,
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.049930947,5.193079542,6.116564836,2.667871666,0.417175015,10.00160607,3.640783319,3.751679076,3.471317248,2.122519603,9.017964832,-0.819195515,-4.941100699,2.493844515,-11.36278013,3.406383573,8.697440297,7.462926811,8.682319916,8.148606529,4.737311068,-10.32323245,-3.786572328,7.973341573,7.119228429,5.5963533,6.594214893,7.311201451,10.56032523,3.697579901,7.969988372,12.27793063,6.986286682,5.708119098,10.62757722,7.413491523,6.605579633,3.230878709,-0.760854812,4.495792997,3.348180391,2.166908634,3.956748481,6.041086739,5.559452531,4.40497269,5.1608256,3.292454897,-1.036431779,5.753708909,5.839640583,5.45713061,3.976596199,1.876395397,2.066140519,
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,-27.29999999,-5.6,10.19999998,18.3,17,10.70000001,-5.700000001,-4.100000005,16.9,19.39999999,7.000000001,3.800000005,7.899999998,2.300000001,8.699999996,-1.599999998,7.599999996,11.88190617,7.599999997,7.806691451,5.17241379,9.016393447,10.7518797,15.20706042,13.5533294,8.925791386,11.7198666,11.30063966,4.214559386,3.933823529,9.267775026,14.27646488,13.93767705,13.07807061,10.99384345,9.924722663,9.226887728,7.853489523,7.618173474,8.42928216,8.298374411,9.090909091,10.01997337,10.07564297,11.35239142,12.6882251,14.19496167,9.623377486,9.233551095,10.63170823,9.484506202,7.750297593,7.68380997,7.268513241,6.9,
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,9.932555156,1.22699449,14.49035586,17.61308783,-3.109654273,11.57735969,4.598151785,12.54824864,9.539218771,10.37503184,9.456637661,4.236625012,5.939197536,4.327380857,8.252886369,12.91639744,7.314459155,10.90945365,2.394407464,-10.95769727,3.500498907,0.200822352,-3.900240442,-2.701261434,4.501223175,3.259348767,-0.348972909,1.136483964,2.948004945,-1.095908411,0.040925169,-0.244560612,-0.1924851,0.811206685,7.125744724,7.729327422,3.743553144,4.930679628,1.617527443,-2.068400057,0.121371915,-1.667642138,-1.359535943,1.23177284,1.721247367,1.515842364,1.765036784,2.542841476,3.251453719,2.017638592,-4.387254788,10.7065041,9.218578722,8.546467852,8.441713171,
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,1.183680812,3.041559051,3.74255032,3.547159696,2.026053715,4.614955621,-10.91206559,6.346323856,4.901479523,3.092068236,3.479707817,2.673843292,5.355680778,10.73426226,11.24505877,-5.495138397,13.73987152,22.00300492,6.035118773,-1.965291669,17.08268225,7.516202606,6.866830566,7.474572543,8.063161672,6.77166308,-2.146650212,-7.823631975,-1.819120513,-6.105697646,-3.808599372,-3.100003211,-7.932066575,2.063402475,4.128370945,4.911939543,5.314158464,4.895359526,4.062278838,4.173581032,4.514271087,4.009044571,4.030993316,3.701854054,2.296852856,3.224002985,3.255664493,2.884046234,1.931850591,3.268648874,4.140591847,4.588738701,5.561688129,5.926964959,6.239188246,
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.350726724,5.202308789,-4.029300398,3.816796268,3.676467736,1.358982462,2.116272058,7.631326238,7.548525194,6.358470188,7.753035853,8.617550844,8.231188944,7.885520809,7.731596839,0.916286753,-8.953427981,6.35974701,9.813224739,17.63660548,17.61972247,23.59769996,5.85396284,6.976131056,-1.185660855,-6.861526437,0.189376641,1.766263429,2.599876517,1.000003567,2.395367454,2.611948052,-0.979683206,-5.493075745,3.985324378,4.290481556,-0.62481215,3.73755277,-2.582199357,7.575980392,3.8026019,4.581870061,0.813264075,3.476631623,7.755758978,6.235997013,-1.58222275,5.572264173,7.468878032,8.751655799,3.42062127,3.799995854,3.440705249,6.779940953,2.646447935,
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,5.265372382,5.466500282,2.904114678,6.602341595,3.012487197,5.322368129,4.190635447,6.427444336,6.520935067,6.956515099,5.951223099,7.673414682,6.72748176,5.742522109,2.248047059,4.817187269,4.148013439,8.46345,5.382853373,4.098199161,2.263216774,0.948480319,1.584376304,3.355101016,3.088264652,5.83829241,5.371506806,4.059821002,3.417426656,6.042038478,2.277231497,5.032677497,2.365650574,5.835811494,5.202437593,2.055854712,3.430293678,0.56978409,-4.204015244,4.419993,1.677898308,2.503980465,3.918271904,5.333022067,4.706555934,6.697515258,6.900627655,3.546804886,1.651549245,3.971800705,6.589511516,4.043943806,4.874065579,4.385710901,3.081928033,
