"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","id"
"11","The Sheik Of Araby / Chlo-E","1937","Art Tatum","Piano Interpretations","1955","Oscar Peterson, Art Tatum, Teddy Wilson, Bud Powell","Piano Starts Here","1968","Art Tatum","On The Air","1977","Art Tatum","Art Tatum","1989","Art Tatum","The Complete Jazz Chronicle Solo Sessions +","2000","Art Tatum","Havin' A Ball",NA,"Billy Kyle / Art Tatum","The Greatest Jazz Pianist Of All Times ",NA,"Art Tatum","Battle Of Jazz, Volume 2","1953","Art Tatum And His Band, Zutty And His Band","The Piano Album 1929 - 1940","1979","Various","The Gershwin Songbook - 'S Paradise (The Instrumentals)","1995","Gershwin*","Billie Holiday","2012","Billie Holiday","Out Of Nowhere","1955","Various","The Story Of Jazz","1976","Various","Round Midnight","1988","Various","The Giants Of Jazz Collection","1994","Various","Bop","1997","Various","Sony Music 100 Years: Soundtrack For A Century","1999","Various","Jazz Legends - Piano","2002","Various","The Original Jazz Legends, Volume Two","2005","Various","Ings","2008","Christina Petrowska Quilico*","Beat Generation (L'anthologie Musicale 1936-1962)","2016","Various","Autumn Leaves",NA,"Various","11"
"12","Deep Purple / Tea For Two","1939","Art Tatum","The Genius Of Art Tatum # 8","1955","Art Tatum","The Tatum Group Masterpieces = <U+30B6>·<U+30C6><U+30A4><U+30BF><U+30E0>·<U+30B0><U+30EB><U+30FC><U+30D7>·<U+30DE><U+30B9><U+30BF><U+30FC><U+30D4><U+30FC><U+30B7><U+30BA>","1968","Art Tatum - Red Callender - Jo Jones = <U+30D7><U+30EC><U+30BC><U+30F3><U+30C6><U+30A3><U+30F3><U+30B0><U+30A2><U+30FC><U+30C8>·<U+30C6><U+30A4><U+30BF><U+30E0>·<U+30C8><U+30EA><U+30AA>*","The Tatum Solo Masterpieces, Vol. 5","1977","Art Tatum","Standards","1990","Art Tatum","Begin The Beguine","2000","Art Tatum","The Genius Of Art Tatum",NA,"Art Tatum","I Cover The Waterfront / I Got A Right To Sing The Blues",NA,"Art Tatum","Part 1","1953","The Art Tatum Trio*","Giants Of Small Band Swing - Vol.3","1979","Barney Bigard","The Art Tatum Trio With Piano Solos By Art Tatum / Haitian Moods","1995","The Art Tatum Trio* / Sidney Bechet","Jazz Instruments","2013","Various","Piano Interpretations","1955","Various","Jazz Interludes","1976","Various","Soundtrack Music From Woody Allen's Movies","1988","Various","Black Legends Of Jazz","1994","Various","Yesterdays: The Jerome Kern Songbook","1997","Various","The Verve Album","2000","Various","A Night Of Jazz","2002","Various","Jazz Characters","2005","Various","The History Of Jazz Vol. 1","2008","Various","Best Of Jazz","2017","Various","24 Jazz Giants Vol. 2",NA,"Various","12"
"13","Begin The Beguine / Rosetta","1940","Art Tatum","Here's Art Tatum","1955","Art Tatum","Art Tatum","1969","Art Tatum","The Tatum Solo Masterpieces, Vol. 7","1977","Art Tatum","Tiger Rag","1990","Art Tatum","Get Happy","2000","Art Tatum","Le Meilleur",NA,"Art Tatum","Body And Soul",NA,"Art Tatum","The Art Tatum Trio","1953","Art Tatum Trio","The Chocolate Dandies And Leonard Feather's Allstars 1940 And 1943","1979","Coleman Hawkins, The Chocolate Dandies And Leonard Feather's Allstars*","'S Paradise: The Gershwin Songbook (The Instrumentals)","1995","Gershwin*","The Art Tatum - Buddy DeFranco Quartet","2015","The Art Tatum Buddy DeFranco Quartet With Red Callender, Bill Douglass (2)","Giants Of Jazz","1956","Various","The Black Bands And Great Black Vocalists","1976","Various","Jazz Piano (A Smithsonian Collection), Volume II","1989","Various","Une Plage de Jazz 1942/4946 Victory Discs Et Concerts Radio","1994","Various","Jazz Of The 1940's Greatest Hits","1997","Various","1932","2000","Various","Christmas Legends","2002","Various","Le Jazz De Cabu","2005","Various","Alto Sax (Greatest Works)","2008","Various","Klara Presenteert 100 Jaar Jazz","2017","Various","V Disc Stomp ",NA,"Various","13"
"14","Piano Solos","1940","Art Tatum","The Genius Of Art Tatum # 7","1955","Art Tatum","Art Tatum","1970","Art Tatum","Art Tatum Is Art -The Trio 1944","1977","Art Tatum","1932-1934","1990","Art Tatum","Art Tatum's Finest Hour","2000","Art Tatum","The Genius Of Art Tatum # 23",NA,"Art Tatum","Rapport In Rhythm",NA,"Art Tatum, Buddy DeFranco Quartet","Art Tatum Trio","1955","Art Tatum Trio","I Re Del Jazz","1979","Various","Passin' It Around","1995","Coleman Hawkins","America Again","2016","Lara Downes","The RCA Victor Encyclopedia Of Recorded Jazz: Album 11- Sha To Ven","1956","Various","Great American Songwriters ","1977","Various","The Great Performers Of Jazz - Vol. 2","1989","Various","Jazz 36 Masterpieces Of Jazz Music","1994","Various","A Portrait Of Boogie Woogie Piano","1997","Various","Singin' Jazzmen","2000","Various","Les Trésors Du Jazz 1898-1943","2002","Various","Nightcap Jazz","2005","Various","Swing Time","2008","Various","Jazz Von A-Z · Die Michael Naura Jazzanthologie","2017","Various","Keyboards Of The Thirties",NA,"Various","14"
"15","St. Louis Blues / Indiana","1941","Art Tatum","The Genius Of Art Tatum # 9","1955","Art Tatum","The Legendary Art Tatum","1970","Art Tatum","The Tatum Solo Masterpieces, Vol. 6","1977","Art Tatum","The Tatum Group Masterpieces, Vol. 4","1990","Art Tatum / Lionel Hampton / Buddy Rich","Sweet Lorraine","2001","Art Tatum","Jazz Gallery",NA,"Art Tatum","Rosetta / Tiger Rag",NA,"Art Tatum","Jazz Sampler","1955","Various","Early Big Joe (1940-1944)","1980","'Big' Joe Turner*","1944","1995","Billie Holiday","The Best & Rarities","2016","Yuja Wang","Great Jazz Pianists","1956","Various","All~Star Piano","1977","Various","Le Top Des Artistes De Jazz","1989","Various","The Great Jazz Pianists ","1994","Various","Idiot's Guide To Jazz","1997","Various","Making Choices – Evolutions In Jazz: 1920-1960","2000","Various","Piano Jazz (The History/L'Histoire)","2003","Various","Jazz Pianists","2005","Various","Baladas Del Jazz, Música A La Luz De La Luna ","2008","Various","The Complete History Of Jazz 1899-1959","2017","Various","Metropolitan Opera House Jam Session",NA,"Various","15"
"16","Lullaby Of The Leaves / Tiger Rag","1941","Art Tatum","The Tatum Touch","1956","Art Tatum","1945","1971","Art Tatum","Art Tatum Masterpieces Volume II And James P. Johnson Plays Fats Waller","1977","Art Tatum / James P. Johnson*","The Tatum Group Masterpieces, Vol. 8","1990","Art Tatum","Portrait","2001","Art Tatum","Memories Of Art Tatum",NA,"Art Tatum","The Genius Of Art Tatum 25",NA,"Art Tatum","Uptown Jazz","1956","Chu Berry's Jazz Ensemble* / Hawkins - Tatum All Stars","The Famous Esquire Jazz Concert 1945 ","1981","Various","1950-1960","1996","Roy Eldridge","Willemsen Legt Auf","2017","Various","Untitled","1957","Various","A Story Of Popular Music - Jazz Giants","1977","Various","The Great Performers Of Jazz - Vol. 1","1989","Various","The Verve Story 1944-1994 - Disc Two","1994","Various","Dinner Jazz Love Songs","1997","Various","Le Città Del Jazz","2000","Various","Artist's Choice: Ray Charles","2003","Various","Jazz In Britain 1919-1950","2005","Various","Jazz Signatures Vol. 2","2009","Various","Dinner Party Jazz: The Absolutely Essential 3 CD Collection","2017","Various","The Blue Note Guide To Jazz: The Greatest Jazz Scenes From 1939 To 2001",NA,"Various","16"
"17","Piano Solos","1944","Art Tatum","Art Tatum In Concert (Art Tatum Piano Solo)","1956","Art Tatum","God Is In The House","1972","Art Tatum","Get Happy!","1977","Art Tatum","Tiger Rag","1990","Art Tatum","The Gods Are In The House","2001","James Price Johnson, Art Tatum, Fats Waller","Art Tatum 1 Piano Solos ""Art Of Tatum"" 1934-1937",NA,"Art Tatum","From Gene Norman's Just Jazz",NA,"Art Tatum","Kings Of The Keyboard","1956","Various","Europa Jazz","1982","Teddy Wilson Trio","The Art Of Early Jazz Piano","1996","Joja Wendt","Jazz Von A-Z · Die Michael Naura Jazzanthologie","2017","Various"," The History Of Jazz Vol. 3 – Everybody Swings","1957","Various","Antologie Jazzu","1977","Various","The Great Performers Of Jazz - Vol. 3","1989","Various","A Piano Anthology (From Jelly Roll Morton To Bill Evans)","1994","Various","With A Song In My Heart - The Classic Songs Of Rodgers & Hart","1997","Various","Just Jazz","2000","Various","Jazz Giants","2003","Various","Ticklin' The Ivories - Volume 1","2005","Various","Ballady Jazzowe","2009","Various","L'Avant-Garde 1888-1970","2017","Various","Midem Sampler",NA,"Various","17"
"18","Cocktails For Two / Liza / Sweet Lorraine / Hallelujah","1945","Art Tatum / Teddy Wilson With Orchestra*","The Art Of Art Tatum","1956","Art Tatum / Art Tatum Trio","The Art Tatum - Erroll Garner - Bud Powell - Billy Taylor Years","1972","Art Tatum - Erroll Garner - Bud Powell - Billy Taylor","The Tatum Solo Masterpieces, Vol. 8","1977","Art Tatum","Earl Hines - Art Tatum","1991","Earl Hines, Art Tatum","Poor Butterfly","2001","Art Tatum","Gene Norman Presents ""Just Jazz"" : Piano Solos",NA,"Art Tatum","The Greatest Piano Of Them All",NA,"Tatum*","Norman Granz presenting The Art Tatum Trio","1956","Art Tatum Trio","Le Stelle Del Jazz Vol.4","1982","Various","Vive Le Jazz !","1997","Siné","I Got Rhythm / I Would Do Anything For You",NA,"Art Tatum Trio","Anatomy Of Improvisation","1958","Various","The Pablo Collection","1977","Various","Les Géants Du Jazz Vol.1","1989","Various","1955-1956/2 I Grandi Successi","1994","Various","Dinner Jazz","1997","Various","Dreyfus Jazz Présente Jazz Reference","2000","Various","Stormy Weather Jazz Vol.1","2003","Various","Jazz Characters - Les Jazzmen Qui Ont Fait L'Histoire","2005","Various","Jazz Top 100 Allertijden Vol. 3","2009","Various","Essential Boogie Woogie","2019","Various","Jazz!",NA,"various","18"
"19","Piano Impressions","1945","Art Tatum"," The Art Tatum - Roy Eldridge - Alvin Stoller - John Simmons Quartet ","1956","Art Tatum, Roy Eldridge, Alvin Stoller, John Simmons","The Genius","1972","Art Tatum","Piano Solos","1978","Art Tatum","1934-1940","1991","Art Tatum","Stompin' At The Savoy","2001","Art Tatum","The Genius Of Art Tatum",NA,"Art Tatum","The Art Tatum Discoveries",NA,"Art Tatum","Lionel Hampton And His Giants","1956","Lionel Hampton","Jazz Masters Of The Keyboard Vol. I","1982","Various","Whittard Tea Dance 2","1997","Various","Jazz In History IV",NA,"Various","Jazz At The Hollywood Bowl","1958","Various","All You Need Is Love - A Story Of Popular Music","1978","Various","A Tribute To George Gershwin","1989","Various","1951-1952/3 I Grandi Successi","1994","Various","Take The 'A' Train - The Big Band Album","1997","Various","Sony MusicBox Jazz","2000","Various","Classic Jazz Anthology","2003","Various","Harold Arlen : Centennial Celebration 100","2005","Various","Piano Plays","2009","Various","Selection Of Jazz For Lovers",NA,"Various","The Boogie Box Vol. 1",NA,"Various","19"
"20","Body And Soul / Lover","1946","Art Tatum","Art Tatum","1956","Art Tatum","Solo Piano","1972","Art Tatum","The V-Discs","1978","Art Tatum","Art Tatum In Private","1991","Art Tatum","Tiger Rag","2001","Art Tatum","Art Tatum & His Friends Vol.I",NA,"Art Tatum With Benny Carter &  Louie Bellson*","Piano Solos  Vol. 2     (4) 7""",NA,"Art Tatum","Plaid / Somebody Loves Me","1956","Lionel Hampton And His Giants","Piano Jazz","1982","Various","1945","1997","Coleman Hawkins","Abc Du Jazz Vol. J ""Middle Jazz"" Piano",NA,"Various","Down Beat's Hall Of Fame Volume 1","1959","Various","Collector's Jackpot Volume Two","1978","Various","Jazz Piano (A Smithsonian Collection)","1989","Various","The Complete Gershwin Songbooks","1994","Various","Stardust: The Jazz Giants Play Hoagy Carmichael","1997","Various","I Miti Del Jazz Classico","2000","Various","Giants Of Jazz","2003","Various","The Bill Clinton Collection - Selections From The Clinton Music Room","2005","Various","Fantastic Mr. Fox (Original Soundtrack)","2009","Various","The Art Of Jazz Piano",NA,"Various","Encyclopedia Of Blues",NA,"Various","20"
"21","I'm Beginning To See The Light / Easy Street","1946","Art Tatum / The Pied Pipers","The Lionel Hampton-Art Tatum-Buddy Rich Trio","1956","Lionel Hampton / Art Tatum / Buddy Rich","Art Tatum","1973","Art Tatum","The Tatum Solo Masterpieces, Vol. 9","1978","Art Tatum","Classic Early Solos (1934-1937)","1991","Art Tatum","Wrap Your Troubles In A Dream","2001","Art Tatum","Piano Solos",NA,"Art Tatum","Art Tatum N° 2",NA,"Art Tatum","Presenting The Art Tatum Trio","1957","The Art Tatum Trio*","The Jazz Guitar","1983","Various","The Commodore Story","1997","Various","Here Is Billie Holiday At Her Rare Of All Rarest Performances Vol 1",NA,"Billie Holiday","Jam Session à I’Hollywwod Bowl","1960","Various","Vogue Jazz","1978","Various","Le Top Des Artistes De Jazz","1989","Various","The Verve Story: 1944 - 1994","1994","Various","52nd Street The Street Of Jazz","1997","Various","Jazz Piano Masters","2000","Various","Artist's Choice: Tony Bennett","2003","Various","Songbook - Over The Rainbow","2005","Harold Arlen","The Perfect Jazz Collection","2010","Various","Jazz In History IV",NA,"Various","The Original Jazz Masters Series Volume One",NA,"Hugues Panassié","21"
"22","She's Funny That Way / Gershwin Medley","1946","Art Tatum","The Art Tatum Piano Discoveries : 2nd Of Two Volumes","1956","Art Tatum","His Rarest Solos","1973","Art Tatum","Lasting Impressions","1979","Art Tatum","The Art Tatum Solo Masterpieces, Vol. 7","1992","Art Tatum","The Definitive Art Tatum","2002","Art Tatum","Emaline / After You’ Re Gone",NA,"Art Tatum","Gone With The Wind / Stormy Weather",NA,"Art Tatum","Presenting... The Art Tatum Trio","1957","The Art Tatum Trio*","When The Saint Go Marching In","1983","Louis Armstrong","This Is So Nice It Must Be Illegal","1997","Paul Asaro","Metropolitan Opera House Jam Session. NYC, Jan. 18, 1944",NA,"Various","Swing Street","1962","Various","<U+0417><U+043D><U+0430><U+043C><U+0435><U+043D><U+0438><U+0442><U+0438> <U+0414><U+0436><U+0430><U+0437> <U+041F><U+0438><U+0430><U+043D><U+0438><U+0441><U+0442><U+0438> / Famous Jazz Pianists","1978","Various","The Jazz Piano","1989","Various","Cole Porter In Concert : Just One Of Those Live Things","1994","Various","The History Of Jazz Volume 1","1997","Various","The Columbia Jazz Piano Moods Sessions","2000","Various","Some Kind Of Cool","2003","Various","Jazz On A Summer Afternoon","2005","Various","Rumba Jazz A History Of Latin Jazz And Dance Music 1919-1945 ","2010","Various","Not Your Typical Self Made Man",NA,"Various","Continental A' Go Go, Vol. 1",NA,"Various","22"
