Date_Clean2,Address_Clean,Type_Clean1
2/1/16,350 Hempt Drive 17011,Harassment 
9/29/16,350 Indian Creek Drive 17011,Identity Theft
7/7/16,350 Charles Road 17011,Prohibited Acts; Penalties 
1/17/16,350 Raven Court 17011,Receiving Stolen Property
7/18/15,350 South Sporting Hill Road 17011,Simple Assault
5/26/15,350 Charles Road 17011,Simple Assault
1/15/15,350 Raven Court 17011,Simple Assault
5/10/16,350 Raven Court 17011,Simple Assault 
3/22/16,350 Charles Road 17011,Theft by Deception
9/12/16,350 Indian Creek Drive 17011,Theft by Unlawful Taking
9/8/16,350 Indian Creek Drive 17011,Theft by Unlawful Taking
6/12/16,350 Kay Road 17011,Theft by Unlawful Taking
4/16/15,350 Indian Creek Drive 17011,Theft by Unlawful Taking
7/13/16,350 Lamp Post Lane 17011,Theft from a Motor Vehicle
6/28/16,350 Kay Road 17011,Theft from a Motor Vehicle
10/22/15,350 Lamp Post Lane 17011,Theft from a Motor Vehicle
10/22/15,350 Lamp Post Lane 17011,Theft from a Motor Vehicle
7/24/15,350 Indian Creek Drive 17011,Theft from a Motor Vehicle
7/24/15,350 Indian Creek Drive 17011,Theft from a Motor Vehicle
3/11/15,350 Mercury Drive 17011,Theft from a Motor Vehicle
4/15/16,350 Salem Church Road 17011,Vandalism
9/28/16,450 Lamp Post Lane 17011,Access Device Fraud
7/26/16,450 Berkshire Lane 17011,Access Device Fraud
6/3/16,450 Pawnee Drive 17011,Access Device Fraud
5/5/16,450 Orrs Bridge Road 17011,Access Device Fraud
11/6/15,450 Mercury Drive 17011,Access Device Fraud
10/21/15,450 Barbara Drive 17011,Access Device Fraud
1/14/15,450 Brook Circle 17011,Access Device Fraud 
9/3/16,450 Brook Circle 17011,Burglary
1/16/15,450 Pawnee Drive 17011,Criminal Mischief
12/5/16,450 Berkshire Lane 17011,Criminal Trespass
7/9/16,450 St Johns Church Road 17011,Driving Under the Influence
5/24/16,450 St Johns Church Road 17011,Driving Under the Influence
2/5/16,450 Orrs Bridge Road 17011,Driving Under the Influence
11/10/15,450 Orrs Bridge Road 17011,Driving Under the Influence
2/5/16,450 St Johns Church Road 17011,Driving Under the Influence
11/21/15,450 Cherokee Drive 17011,Fraud/Forgery
5/30/15,450 Boxwood Court 17011,Harassment 
1/23/16,450 Wren Court 17011,Identity Theft
12/8/15,450 Brook Circle 17011,Identity Theft
4/24/15,450 Hopi Drive 17011,Identity Theft
3/3/15,450 Pawnee Drive 17011,Identity Theft
2/23/15,450 Jarod Court 17011,Identity Theft
12/23/16,450 Lamp Post Lane 17011,PFA Violation
1/7/16,450 Spring House Road 17011,PFA Violation
8/31/15,450 Pawnee Drive 17011,Prohibited Acts; Penalties 
6/14/15,450 Cherokee Drive 17011,Prohibited Acts; Penalties 
7/3/16,450 Brook Circle 17011,Public Drunkenness
9/4/16,450 St Johns Church Road 17011,Public Drunkenness 
6/21/15,450 Woodcrest Drive 17011,Simple Assault 
9/27/15,450 Boxwood Court 17011,Stalking 
7/14/15,450 Railroad Avenue 17011,Theft by Unlawful Taking
3/7/16,450 St Johns Church Road 17011,Theft by Deception
8/31/15,450 Lamp Post Lane 17011,Theft by Deception
9/20/16,450 Lamp Post Lane 17011,Theft by Unlawful Taking
8/30/16,450 Boxwood Court 17011,Theft by Unlawful Taking
4/1/16,450 Salem Church Road 17011,Theft by Unlawful Taking
1/4/16,450 Sioux Drive 17011,Theft by Unlawful Taking
6/10/15,450 Sioux Drive 17011,Theft by Unlawful Taking
4/7/15,450 Salem Church Road 17011,Theft by Unlawful Taking
11/27/16,450 Barbara Drive 17011,Theft from a Motor Vehicle
11/22/16,450 Berkshire Lane 17011,Theft from a Motor Vehicle
11/7/16,450 Brook Circle 17011,Theft from a Motor Vehicle
9/1/16,450 Barbara Drive 17011,Theft from a Motor Vehicle
5/30/15,450 Jarod Court 17011,Theft from a Motor Vehicle
3/11/15,450 Mercury Drive 17011,Theft from a Motor Vehicle
3/11/15,450 Waterleaf Court 17011,Theft from a Motor Vehicle
3/11/15,450 Waterleaf Court 17011,Theft from a Motor Vehicle
2/24/15,450 Brook Circle 17011,Theft from Motor Vehicle
4/16/15,450 Salem Church Road 17011,Unauthorized Use
9/12/15,450 Woodcrest Drive 17011,Unauthorized Use 
6/6/16,550 Bedford Court 17011,Access Device Fraud
3/2/16,550 Sarah Court 17011,Access Device Fraud
10/29/15,550 Salmon Road 17011,Access Device Fraud
11/1/15,550 Jacob Lane 17011,Criminal Mischief
8/29/15,550 Joel Drive 17011,Criminal Mischief
8/13/15,550 Woodcrest Drive 17011,Driving Under the Influence
6/24/16,550 St Johns Drive 17011,Fraud
11/28/15,550 Breezewood Court 17011,Harassment 
9/24/15,550 Colony Road 17011,Harassment 
9/16/15,550 Colony Road 17011,Harassment 
12/2/16,550 Salmon Road 17011,Identity Theft
2/20/16,550 Jacob Lane 17011,Identity Theft
2/17/16,550 Deubler Road 17011,Identity Theft
8/14/15,550 Breezewood Court 17011,Prohibited Acts; Penalties 
5/3/16,550 Bedford Court 17011,Prohibited Acts; Penalties 
5/10/16,550 Quail Court 17011,Simple Assault
10/11/16,550 Jacob Lane 17011,Simple Assault
2/13/15,550 Jacob Lane 17011,Theft by Unlawful Taking
11/13/15,550 Barry Court 17011,Theft by Deception
8/9/15,550 Jacob Lane 17011,Theft by Deception
1/26/16,550 Spring House Road 17011,Theft by Unlawful Taking
4/13/15,550 Joel Drive 17011,Theft from a Motor Vehicle
6/27/15,550 Woodcrest Drive 17011,Unauthorized Use of Automobile
6/10/16,550 Barry Court 17011,Unlawful Restraint
6/3/15,650 Simpson Ferry Road 17011,Driving Under the Influence 
3/15/16,650 Good Hope Road 17011,Identity Theft
11/15/16,650 North St Johns Drive 17011,Theft by Deception
8/14/15,650 Good Hope Road 17011,Theft by Unlawful Taking
7/22/15,750 Florence Circle 17011,Access Device Fraud
5/22/15,750 Alberta Avenue 17011,Fraud
10/13/16,750 Orrs Bridge Road 17011,Prostitution
9/9/15,750 East Simpson Street 17011,Public Drunkenness
4/15/15,750 East Locust Street 17011,Public Drunkenness
5/25/16,750 Salem Park Circle 17011,Simple Assault
6/15/15,750 Kent Drive 17011,Theft by Deception
8/24/16,750 Admirals Quay 17011,Theft by Unlawful Taking
4/15/16,750 Orrs Bridge Road 17011,Theft by Unlawful Taking
4/5/16,750 Brentwater Road 17011,Theft by Unlawful Taking
6/29/15,850 Anthony Drive 17011,Access Device Fraud
6/18/15,850 Briarwood Lane 17011,Access Device Fraud
7/26/16,850 Tavy Court 17011,Burglary
5/1/16,850 Pamelas Lane West 17011,Burglary
11/24/16,850 Mandy Lane 17011,Criminal Mischief
7/4/16,850 Orr’s Bridge Road 17011,Criminal Mischief
11/12/15,850 Meadow Lane 17011,Criminal Trespass 
11/10/15,850 Meadow Lane 17011,Prohibited Acts; Penalties
11/27/15,850 Meadow Lane 17011,Prohibited Acts; Penalties
9/30/16,850 Orrs Bridge Road 17011,Public Drunkenness 
8/18/16,850 Schooner Lane 17011,Theft by Unlawful Taking
2/26/16,850 Meadow Lane 17011,Unauthorized Use
4/25/16,950 Kent Drive 17011,Access Device Fraud
1/27/16,950 Cyprus Lane 17011,Access Device Fraud
12/4/15,950 Willcliff Drive 17011,Criminal Mischief
5/30/15,950 Willshire 17011,Drive Access Device Fraud
6/10/15,950 Shiremont Drive 17011,Identity Theft
4/13/15,950 Shiremont Drive 17011,Identity Theft
2/6/15,950 Mill Road 17011,Theft by Deception
12/16/15,1050 Chippenham Road 17011,Access Device Fraud
11/6/15,1050 Baythorne Road 17011,Access Device Fraud
4/27/15,1050 Louisa Lane 17011,Access Device Fraud
12/6/16,1050 Baythorne Drive 17011,Driving Under the Influence 
5/10/15,1050 Good Hope Road 17011,Driving Under the Influence 
4/15/16,1050 Chippenham Road 17011,Identity Theft
4/4/15,1050 Good Hope Road 17011,Identity Theft
1/12/15,1050 Pebble Court 17011,Identity Theft
6/21/16,1050 Tunbridge Lane 17011,Theft by Unlawful Taking
12/17/15,1050 Mill Road 17011,Theft by Unlawful Taking
7/13/15,1050 Orrs Bridge Road 17011,Theft by Unlawful Taking
8/18/16,1050 Baythorne Drive 17011,Theft from a Motor Vehicle
12/20/15,1050 Tunbridge Lane 17011,Theft from a Motor Vehicle
10/14/15,1050 Baythorne Drive 17011,Theft from a Motor Vehicle
6/12/15,1050 Devereaux Lane 17011,Theft from a Motor Vehicle
3/23/15,1050 Baythorne Drive 17011,Theft from a Motor Vehicle
7/22/15,1050 Chippenham Road 17011,Vandalism
3/24/16,1150 Dry Powder Circle 17011,Access Device Fraud
7/14/16,1150 Gunstock Lane 17011,Access Device Fraud
4/20/16,1150 Musket Lane 17011,Access Device Fraud
4/22/15,1150 Dry Powder Circle 17011,Access Device Fraud
7/5/16,1150 Newbold Lane 17011,Burglary
12/27/16,1150 Dry Powder Circle 17011,Criminal Mischief
12/25/16,1150 Gunstock Lane 17011,Criminal Mischief
8/20/16,1150 Gunstock Lane 17011,Criminal Mischief
5/28/16,1150 Orrs Bridge Road 17011,Driving Under the Influence
10/21/16,1150 West Powderhorn Road 17011,Identity Theft
5/9/16,1150 East Powderhorn Road 17011,Identity Theft
4/6/15,1150 Lambs Gap Road 17011,Identity Theft
3/16/15,1150 Windsor Road 17011,Identity Theft
3/9/15,1150 Wansford Road 17011,Identity Theft
12/6/16,1150 Dry Powder Circle 17011,Prohibited Acts; Penalties 
12/11/16,1150 Carrington Court East 17011,Simple Assault
6/11/16,1150 Cross Creek Drive 17011,Simple Assault
2/5/16,1150 Kent Drive 17011,Theft by Deception
4/8/15,1150 Saffron Drive 17011,Theft from a Motor Vehicle
2/26/15,1150 Jerusalem Road 17011,Theft of Services
11/29/16,1150 Gunstock Lane 17011,Vandalism
7/22/15,1150 West Powderhorn Road 17011,Vandalism
3/3/16,1250 Summit Way 17011,Access Device Fraud
1/1/16,1250 Summit Way 17011,Burglary
11/19/15,1250 East Powderhorn Road 17011,Burglary
3/24/16,1250 Chelsen Cross 17011,Criminal Mischief
12/12/16,1250 Highlander Way 17011,Driving Under the Influence
6/4/15,1250 Kings Circle 17011,Driving Under the Influence 
3/4/16,1250 Kings Circle 17011,Identity Theft
2/22/16,1250 Kings Circle 17011,Identity Theft
3/15/16,1250 Chelsen Cross 17011,Theft by Unlawful Taking
7/20/16,1250 Summit Way 17011,Theft from a Motor Vehicle
6/27/15,1250 Timber View Drive 17011,Theft from a Motor Vehicle
11/26/16,1350 Concord Road 17011,Burglary
7/28/15,1350 Jerusalem Road 17011,Identity Theft
6/29/15,1350 Concord Road 17011,Identity Theft
5/21/15,1350 Abington Way 17011,Identity Theft
2/28/16,1350 Silvercreek Drive 17011,Prohibited Acts; Penalties
7/20/16,1350 Abington Way 17011,Theft from a Motor Vehicle
3/26/15,1450 Summit Way 17011,Access Device Fraud
12/8/16,1450 Armitage Way 17011,Harassment
9/30/15,1450 Summit Way 17011,Harassment 
8/15/16,1450 Concord Road 17011,Identity Theft
7/17/15,1450 Olde Oak Court 17011,Public Drunkenness 
11/26/16,1450 Armitage Way 17011,Vandalism
10/22/15,1550 Inverness Drive 17011,Access Device Fraud
6/19/15,1550 Inverness Drive 17011,Harassment
5/5/15,1550 Inverness Drive 17011,Theft by Deception
12/19/16,1550 Timber Chase Drive 17011,Theft by Unlawful Taking
12/14/15,1550 Inverness Drive 17011,Theft by Unlawful Taking
8/20/15,1650 Airport Drive 17011,Theft by Unlawful Taking
5/30/16,1750 Orrs Bridge Road 17011,Access Device Fraud
7/25/15,1750 Eliza Way 17011,Access Device Fraud
12/29/16,1750 Orrs Bridge Road 17011,Harassment
5/12/16,1750 Sawyer Lane 17011,Identity Theft
10/6/16,1750 Good Hope Road 17011,Theft by Deception
12/1/16,1850 Silver Pine Circle 17011,Criminal Mischief
10/6/15,1850 Red Spruce Lane 17011,Criminal Mischief
2/27/15,1850 Signal Hill Drive 17011,Identity Theft
3/17/16,1850 Good Hope Road 17011,Prohibited Acts; Penalties
1/24/16,1850 Hunter Drive 17011,Public Drunkenness 
8/28/16,1850 Good Hope Road 17011,Simple Assault
10/23/15,1850 Silver Pine Circle 17011,Theft by Unlawful Taking
12/19/15,1850 Silver Pine Circle 17011,Theft from a Motor Vehicle
6/21/16,1950 Wentz Road 17011,Access Device Fraud
4/10/15,1950 Monterey Drive 17011,Burglary
12/16/16,1950 Dawn Road 17011,Identity Theft
6/11/15,1950 Monterey Drive 17011,Identity Theft
8/26/15,1950 Wentz Lane 17011,Prohibited Acts; Penalties 
8/27/15,2050 Mountain Pine Drive 17011,Access Device Fraud
3/19/16,2050 Good Hope Road 17011,Criminal Trespass
1/10/15,2050 Good Hope Road 17011,Driving Under the Influence
2/16/16,2050 Technology Parkway 17011,Driving Under the Influence
3/17/16,2050 Good Hope Road 17011,Driving Under the Influence 
6/5/15,2050 Mountain Pine Drive 17011,Identity Theft
12/25/16,2050 Technology Parkway 17011,Prohibited Acts; Penalties
11/1/15,2050 Good Hope Road 17011,Prohibited Acts; Penalties 
5/31/16,2050 Good Hope Road 17011,Theft by Unlawful Taking
5/25/15,2050 Mountain Pine Drive 17011,Theft by Unlawful Taking
1/23/15,2050 Mountain Pine Drive 17011,Theft from a Motor Vehicle
10/10/15,2150 Englewood Court 17011,Burglary
10/6/15,2150 East Coventry Lane 17011,Criminal Mischief
7/6/15,2150 Englewood Court 17011,Harassment
9/21/16,2150 Cedar Lane 17011,Identity Theft
8/11/16,2150 Gleim Court 17011,Identity Theft
1/3/15,2150 Warren Way 17011,Vandalism
12/6/16,2250 Gleim Court 17011,Access Device Fraud
5/3/16,2250 Earth Road 17011,Burglary
4/16/16,2250 Earth Road 17011,Burglary
4/16/15,2250 Gleim Court 17011,Burglary
6/16/16,2250 Millennium Way 17011,Driving Under the Influence
2/2/15,2250 Gleim Court 17011,Driving Under the Influence 
8/19/16,2250 Lambs Gap Road 17011,Identity Theft
12/7/16,2250 Gleim Court 17011,Simple Assault
1/12/16,2250 Millennium Way 17011,Theft from a Motor Vehicle
12/19/16,2350 Lambs Gap Road 17011,Criminal Mischief
8/28/16,2350 Wertz Lane 17011,Simple Assault
10/24/15,2350 Claridge Court 17011,Theft from a Motor Vehicle
8/30/15,2350 Woodstream Way 17011,Theft from a Motor Vehicle
10/15/16,2450 Spring Lane 17011,Access Device Fraud
7/10/15,2450 Dewey Lane 17011,Driving Under the Influence 
9/3/15,2450 Hume Lane 17011,Theft by Unlawful Taking
4/11/16,2550 Mountainside Way 17011,Identity Theft
2/18/15,2550 Warren Way 17011,Theft by Unlawful Taking
9/20/16,2650 Warren Way 17011,Burglary
9/9/16,2750 Warren Way 17011,Theft by Deception
10/30/15,3250 Louisa Lane 17011,Access Device Fraud
8/19/15,3250 Louisa Lane 17011,Criminal Trespass
12/13/15,3450 Simpson Ferry Road 17011,Access Device Fraud
10/24/15,3450 Simpson Ferry Road 17011,Aggravated Assault
11/21/16,3450 Simpson Ferry Road 17011,Hit and Run
9/16/16,3450 Simpson Ferry Road 17011,Prohibited Acts; Penalties
11/11/15,3450 Simpson Ferry Road 17011,Theft by Unlawful Taking
8/13/15,3450 Simpson Ferry Road 17011,Theft from a Motor Vehicle
10/26/16,3450 Simpson Ferry Road 17011,Theft from a Motor Vehicle
1/12/15,3450 Lincoln Drive 17011,Theft of a Motor Vehicle
11/10/15,3550 Coventry Lane 17011,Access Device Fraud
11/17/16,3550 Green Street 17011,Access Device Fraud
9/22/16,3550 Beech Run Lane 17011,Access Device Fraud
4/20/16,3550 Green Street 17011,Access Device Fraud
12/30/15,3550 Beech Run Lane 17011,Access Device Fraud
8/28/15,3550 Walnut Street 17011,Access Device Fraud
2/10/16,3550 Green Street 17011,Identity Theft
3/16/15,3550 Green Street 17011,Identity Theft
1/26/15,3550 Louisa Lane 17011,Identity Theft
4/3/15,3550 Chestnut Street 17011,Simple Assault
8/11/16,3550 Hawthorne Drive 17011,Theft by Unlawful Taking
6/29/16,#VALUE!,Theft by Unlawful Taking
4/27/16,3550 Foxcroft Drive 17011,Theft by Unlawful Taking
10/15/15,3550 Simpson Ferry Road 17011,Theft by Unlawful Taking
12/12/15,3550 Walnut Street 17011,Unauthorized Use
9/9/15,3550 Walnut Street 17011,Unauthorized Use 
11/30/16,3650 Dwayne Avenue 17011,Access Device Fraud
6/25/15,3650 Golfview Drive 17011,Access Device Fraud
6/15/15,3650 Market Street 17011,Public Drunkenness
12/25/15,3750 Market Street 17011,Driving Under the Influence 
9/26/16,3750 Vine Street 17011,Identity Theft
6/18/15,3750 Leyland Drive 17011,Identity Theft
1/13/16,3750 Market Street 17011,Prohibited Acts; Penalties
11/8/15,3750 Falkstone Drive 17011,Prohibited Acts; Penalties
6/8/15,3750 Market Street 17011,Prohibited Acts; Penalties 
7/12/16,3750 Market Street 17011,Public Drunkenness
12/3/16,3750 Chestnut Street 17011,Simple Assault
12/11/15,3750 Trindle Road 17011,Theft by Deception
2/19/16,3750 Kohler Place 17011,Theft by Unlawful Taking
2/4/15,3750 Kohler Place 17011,Theft from a Motor Vehicle
10/17/16,3850 Chestnut Street 17011,Access Device Fraud
3/11/16,3850 Lamp Post Lane 17011,Access Device Fraud
3/4/16,3850 Trindle Road 17011,Access Device Fraud
8/6/15,3850 Carriage House Drive 17011,Access Device Fraud
1/5/15,3850 Claverton Road 17011,Access Device Fraud
6/21/16,3850 Pamay Drive 17011,Criminal Mischief
4/3/16,3850 Market Street 17011,Driving Under the Influence 
1/27/16,3850 Golfview Drive 17011,Forgery 
9/19/16,3850 Oxbow Drive 17011,Identity Theft
8/14/16,3850 Pamay Drive 17011,Identity Theft
7/20/15,3850 Carriage House Drive 17011,Identity Theft
9/17/15,3850 Trindle Road 17011,Prohibited Acts; Penalties
1/1/15,3850 Pamay Drive 17011,Prohibited Acts; Penalties 
4/15/15,3850 Bellows Drive 17011,Simple Assault
8/14/15,3850 Leyland Drive 17011,Theft by Deception
2/8/16,3850 Chestnut Street 17011,Theft by Unlawful Taking
9/16/15,3850 Pamay Drive 17011,Theft by Unlawful Taking
4/22/15,3850 Pamay Drive 17011,Theft by Unlawful Taking
10/22/15,3850 Copperkettle Road 17011,Theft from a Motor Vehicle
11/20/15,3950 Brookridge Drive 17011,Criminal Mischief
1/12/16,3950 Brookridge Drive 17011,Driving Under the Influence 
7/12/15,3950 Golfview Drive 17011,Driving Under the Influence 
3/6/15,3950 Valley Road 17011,Hit and Run
2/2/15,3950 Silverbrook Drive 17011,Indecent Assault
5/18/16,3950 Emilridge Drive 17011,Simple Assault
10/2/15,3950 East Trindle Road 17011,Theft by Unlawful Taking
12/2/15,4050 Caissons Court 17011,Access Device Fraud
7/11/15,4050 Darius Drive 17011,Burglary
7/24/15,4050 Carlisle Pike 17011,Driving Under the Influence 
10/9/16,4050 Darius Drive 17011,Simple Assault
5/11/16,4050 Darius Drive 17011,Simple Assault
4/10/16,4050 Darius Drive 17011,Theft by Deception
8/7/15,4050 Caissons Court 17011,Theft by Deception
10/5/15,4050 Market Street 17011,Theft by Unlawful Taking
5/19/16,4150 Kittatinny Drive 17011,Access Device Fraud
4/8/16,4150 Nantucket Drive 17011,Access Device Fraud
1/5/15,4150 Nantucket Drive 17011,Access Device Fraud
11/19/16,4150 Park Street 17011,Burglary
11/2/16,4150 Valley Road 17011,Burglary
9/30/15,4150 Kittatinny Drive 17011,Driving Under the Influence
9/13/15,4150 Kittatinny Drive 17011,Harassment
4/3/15,4150 Mountain View Road 17011,Harassment
1/18/16,4150 Nantucket Drive 17011,Prohibited Acts; Penalties
7/2/15,4150 Park Street 17011,Prohibited Acts; Penalties 
12/14/15,4150 Elk Court 17011,Prohibited Acts; Penalties 
1/4/15,4150 Cove Court 17011,Simple Assault 
3/18/16,4150 Nantucket Drive 17011,Theft by Deception
4/4/16,4150 Mountain View Road 17011,Theft by Unlawful Taking
5/15/15,4150 Kittatinny Drive 17011,Theft by Unlawful Taking
8/26/16,4150 Kittatinny Drive 17011,Theft from a Motor Vehicle
7/31/16,4150 Kittatinny Drive 17011,Theft from a Motor Vehicle
7/30/16,4150 Mountain View Road 17011,Theft from a Motor Vehicle
4/20/15,4150 Grouse Court 17011,Theft from a Motor Vehicle
12/3/16,4250 Nantucket Drive 17011,Access Device Fraud
12/29/15,4250 Roth Lane 17011,Access Device Fraud
8/1/16,4250 Nantucket Drive 17011,Criminal Mischief
2/3/16,4250 Trindle Road 17011,Driving Under the Influence
1/5/16,4250 Carlisle Pike 17011,False ID to Law Enforcement
1/7/16,4250 Nantucket Drive 17011,PFA Violation
4/29/16,4250 East Trindle Road 17011,Prohibited Acts; Penalties
7/3/16,4250 Trindle Road 17011,Prohibited Acts; Penalties 
12/10/15,4250 Nantucket Drive 17011,Simple Assault
10/21/16,4250 Valley Road 17011,Theft by Unlawful Taking
4/21/15,4250 Chestnut Street 17011,Theft by Unlawful Taking
10/30/15,4350 Roth Farm Village Circle 17011,Access Device Fraud
10/2/15,4350 Carlisle Pike 17011,Aggravated Assault
4/27/16,4350 Carlisle Pike 17011,Burglary
10/27/16,4350 Carlisle Pike 17011,Driving Under the Influence 
10/13/15,4350 Roth Farm Village Circle 17011,Prohibited Acts; Penalties
2/26/15,4350 Carlisle Pike 17011,Public Drunkenness 
12/11/15,4350 Carlisle Pike 17011,Simple Assault
10/30/15,4350 Park Street 17011,Simple Assault
11/19/15,4350 Carlisle Pike 17011,Theft by Unlawful Taking
10/18/15,4450 Industrial Park Road 17011,Theft by Unlawful Taking
1/25/16,4550 Valley Road 17011,Access Device Fraud
6/12/15,4550 East Trindle Road 17011,Driving Under the Influence
11/23/16,4550 East Trindle Road 17011,Prohibited Acts; Penalties 
7/13/15,4550 East Trindle Road 17011,Simple Assault
8/17/15,4550 East Trindle Road 17011,Theft by Deception
10/13/16,4650 South Clearview Drive 17011,Access Device Fraud
7/9/15,4650 South Clearview Drive 17011,Access Device Fraud
11/11/15,4650 Mt Zion Drive 17011,Burglary
10/2/16,4650 East Trindle Road 17011,Driving Under the Influence
8/11/16,4650 East Trindle Road 17011,Driving Under the Influence
7/29/16,4650 East Trindle Road 17011,Driving Under the Influence
5/15/16,4650 East Trindle Road 17011,Driving Under the Influence 
11/29/15,4650 East Trindle Road 17011,Driving Under the Influence 
9/27/15,4650 Trindle Road 17011,Driving Under the Influence 
11/18/16,4650 East Trindle Road 17011,Prohibited Acts; Penalties
4/28/16,4650 South Clearview Drive 17011,Prohibited Acts; Penalties
12/28/16,4650 East Trindle Road 17011,Prohibited Acts; Penalties 
6/27/16,4650 Creekview Road 17011,Prohibited Acts; Penalties 
8/7/16,4650 East Trindle Road 17011,Providing False ID to Law Enforcement
12/20/16,4650 Creekview Road 17011,Theft by Unlawful Taking
9/1/16,4650 Creekview Road 17011,Theft by Unlawful Taking
6/10/15,4750 Brian Road 17011,Access Device Fraud
12/25/15,4750 Brian Road 17011,Aggravated Assault
11/5/15,4750 Brian Road 17011,Criminal Mischief
12/21/15,4750 North Clearview 17011,Driving Under the Influence
2/24/15,4750 East Trindle Road 17011,Driving Under the Influence
5/6/15,4750 East Trindle Road 17011,Driving Under the Influence
11/6/15,4750 Carlisle Pike 17011,Driving Under the Influence 
4/16/15,4750 Trindle Road 17011,Driving Under the Influence 
7/17/16,4750 Carlisle Pike 17011,Driving Under the Influence 
12/4/16,4750 East Trindle Road 17011,Harassment 
11/9/16,4750 Charles Road 17011,Identity Theft
12/16/16,4750 Carlisle Pike 17011,Prohibited Acts; Penalties
9/23/16,4750 Carlisle Pike 17011,Prohibited Acts; Penalties
10/2/15,4750 Carlisle Pike 17011,Prohibited Acts; Penalties 
11/24/15,4750 Carlisle Pike 17011,Simple Assault
1/21/15,4750 Brian Road 17011,Simple Assault
7/3/15,4750 East Trindle Road 17011,Theft by Unlawful Taking
9/13/15,4750 Brian Road 17011,Theft from a Motor Vehicle
8/2/15,4750 Brian Road 17011,Theft from a Motor Vehicle
11/20/15,4750 Delbrook Road 17011,Theft of a Motor Vehicle
6/2/16,4750 East Trindle Road 17011,Vehicle Theft
