RawData,Date,Date_Clean,Date_Clean2,Location,Location_Clean1,Type,Type_Clean1,Lat,Lon,FindLocationStart,FindLocationLength,TypeStart,AreThereParen?,,,,,,,,,,,
"February 14, 2016     6300 block of Creekbend Drive          Access Device Fraud","February 14, 2016",42414,02/14/16,6300 block of Creekbend Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,32,52,,,,,,,,,,,,
"February 1, 2016     5400 block of Laurie Lane          Access Device Fraud","February 1, 2016",42401,02/01/16,5400 block of Laurie Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,28,47,,,,,,,,,,,,
"January 27, 2016     900 block of Cyprus Lane          Access Device Fraud","January 27, 2016",42396,01/27/16,900 block of Cyprus Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,27,46,,,,,,,,,,,,
"January 25, 2016     4500 block of Valley Road          Access Device Fraud","January 25, 2016",42394,01/25/16,4500 block of Valley Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,28,47,,,,,,,,,,,,
"December 30, 2015     3500 block of Beech Run Lane           Access Device Fraud","December 30, 2015",42368,12/30/15,3500 block of Beech Run Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,31,51,,,,,,,,,,,,
"December 29, 2015     4200 block of Roth Lane          Access Device Fraud","December 29, 2015",42367,12/29/15,4200 block of Roth Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,26,46,,,,,,,,,,,,
"December 16, 2015     1000 block of Chippenham Road           Access Device Fraud","December 16, 2015",42354,12/16/15,1000 block of Chippenham Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,32,52,,,,,,,,,,,,
"December 13, 2015     3400 block of Simpson Ferry Road          Access Device Fraud","December 13, 2015",42351,12/13/15,3400 block of Simpson Ferry Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,35,55,,,,,,,,,,,,
"December 2, 2015     4000 block of Caissons Court           Access Device Fraud","December 2, 2015",42340,12/02/15,4000 block of Caissons Court 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,31,50,,,,,,,,,,,,
"November 30, 2015     5200 block of Aldersgate Circle          Access Device Fraud","November 30, 2015",42338,11/30/15,5200 block of Aldersgate Circle 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,34,54,,,,,,,,,,,,
"November 6, 2015     1000 block of Baythorne Road           Access Device Fraud","November 6, 2015",42314,11/06/15,1000 block of Baythorne Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,31,50,,,,,,,,,,,,
"November 6, 2015     400 block of Mercury Drive          Access Device Fraud","November 6, 2015",42314,11/06/15,400 block of Mercury Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,29,48,,,,,,,,,,,,
"October 30, 2015     4300 block of Roth Farm Village Circle           Access Device Fraud","October 30, 2015",42307,10/30/15,4300 block of Roth Farm Village Circle 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,41,60,,,,,,,,,,,,
"October 30, 2015     3200 block of Louisa Lane          Access Device Fraud","October 30, 2015",42307,10/30/15,3200 block of Louisa Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,28,47,,,,,,,,,,,,
"October 29, 2015     500 block of Salmon Road          Access Device Fraud","October 29, 2015",42306,10/29/15,500 block of Salmon Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,27,46,,,,,,,,,,,,
"October 22, 2015     1500 block of Inverness Drive          Access Device Fraud","October 22, 2015",42299,10/22/15,1500 block of Inverness Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,32,51,,,,,,,,,,,,
"October 21, 2015     400 block of Barbara Drive          Access Device Fraud","October 21, 2015",42298,10/21/15,400 block of Barbara Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,29,48,,,,,,,,,,,,
"October 21, 2015     First block of Old Farm Road          Access Device Fraud","October 21, 2015",42298,10/21/15,First block of Old Farm Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,31,50,,,,,,,,,,,,
"September 28, 2015     5000 block of Shetland Court           Access Device Fraud","September 28, 2015",42275,09/28/15,5000 block of Shetland Court 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,21,31,52,,,,,,,,,,,,
"September 4, 2015     5500 Carlisle Pike (Lowes)           Access Device Fraud","September 4, 2015",42251,09/04/15,5500 Carlisle Pike (Lowes) 17011,5500 Carlisle Pike  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,20,29,49,,,,,,,,,,,,
"September 3, 2015     300 block of Virginia Road          Access Device Fraud","September 3, 2015",42250,09/03/15,300 block of Virginia Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,29,49,,,,,,,,,,,,
"September 2, 2015     5000 block of Erb’s Bridge Road          Access Device Fraud","September 2, 2015",42249,09/02/15,5000 block of Erb’s Bridge Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,20,34,54,,,,,,,,,,,,
"August 28, 2015     3500 block of Walnut Street          Access Device Fraud","August 28, 2015",42244,08/28/15,3500 block of Walnut Street 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,18,30,48,,,,,,,,,,,,
"August 27, 2015     2000 block of Mountain Pine Drive          Access Device Fraud","August 27, 2015",42243,08/27/15,2000 block of Mountain Pine Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,18,36,54,,,,,,,,,,,,
"August 27, 2015     5600 block of Charlton Way          Access Device Fraud","August 27, 2015",42243,08/27/15,5600 block of Charlton Way 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,18,29,47,,,,,,,,,,,,
"August 20, 2015     5400 block of Carlisle Pike           Access Device Fraud","August 20, 2015",42236,08/20/15,5400 block of Carlisle Pike 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,18,30,48,,,,,,,,,,,,
"August 6, 2015     3800 block of Carriage House Drive          Access Device Fraud","August 6, 2015",42222,08/06/15,3800 block of Carriage House Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,37,54,,,,,,,,,,,,
"August 6, 2015     5231 Simpson Ferry Road (Secure Construction Services)          Access Device Fraud","August 6, 2015",42222,08/06/15,5231 Simpson Ferry Road (Secure Construction Services) 17011,5231 Simpson Ferry Road  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,17,57,74,,,,,,,,,,,,
"July 28, 2015     6054 Carlisle Pike (Sheetz)          Access Device Fraud","July 28, 2015",42213,07/28/15,6054 Carlisle Pike (Sheetz) 17011,6054 Carlisle Pike  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,16,30,46,,,,,,,,,,,,
"July 25, 2015     1700 block of Eliza Way           Access Device Fraud","July 25, 2015",42210,07/25/15,1700 block of Eliza Way 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,26,42,,,,,,,,,,,,
"July 24, 2015     5277 Simpson Ferry Road (Rite Aid)          Access Device Fraud","July 24, 2015",42209,07/24/15,5277 Simpson Ferry Road (Rite Aid) 17011,5277 Simpson Ferry Road  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,16,37,53,,,,,,,,,,,,
"July 22, 2015     700 block of Florence Circle          Access Device Fraud","July 22, 2015",42207,07/22/15,700 block of Florence Circle 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,31,47,,,,,,,,,,,,
"July 9, 2015     4600 block of South Clearview Drive          Access Device Fraud","July 9, 2015",42194,07/09/15,4600 block of South Clearview Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,38,53,,,,,,,,,,,,
"July 6, 2015     5300 block of Simpson Ferry Road          Access Device Fraud","July 6, 2015",42191,07/06/15,5300 block of Simpson Ferry Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,35,50,,,,,,,,,,,,
"July 6, 2015     3721 Market Street (ABC Brewery)          Access Device Fraud","July 6, 2015",42191,07/06/15,3721 Market Street (ABC Brewery) 17011,3721 Market Street  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,15,35,50,,,,,,,,,,,,
"July 6, 2015     5000 block of East Trindle Road           Access Device Fraud","July 6, 2015",42191,07/06/15,5000 block of East Trindle Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,34,49,,,,,,,,,,,,
"June 29, 2015     800 block of Anthony Drive          Access Device Fraud","June 29, 2015",42184,06/29/15,800 block of Anthony Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,29,45,,,,,,,,,,,,
"June 27, 2015     4800 block of Virginia Road          Access Device Fraud","June 27, 2015",42182,06/27/15,4800 block of Virginia Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,30,46,,,,,,,,,,,,
"June 25, 2015     3600 block of Golfview Drive          Access Device Fraud","June 25, 2015",42180,06/25/15,3600 block of Golfview Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,31,47,,,,,,,,,,,,
"June 24, 2015     4510 Marketplace Way (Giant)          Access Device Fraud","June 24, 2015",42179,06/24/15,4510 Marketplace Way (Giant) 17011,4510 Marketplace Way  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,16,31,47,,,,,,,,,,,,
"June 22, 2015     First block of Lori Circle          Access Device Fraud","June 22, 2015",42177,06/22/15,First block of Lori Circle 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,29,45,,,,,,,,,,,,
"June 18, 2015     800 block of Briarwood Lane          Access Device Fraud","June 18, 2015",42173,06/18/15,800 block of Briarwood Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,30,46,,,,,,,,,,,,
"June 16, 2015     5500 block of General Jenkins Drive          Access Device Fraud","June 16, 2015",42171,06/16/15,5500 block of General Jenkins Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,38,54,,,,,,,,,,,,
"June 10, 2015     4700 block of Brian Road          Access Device Fraud","June 10, 2015",42165,06/10/15,4700 block of Brian Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,27,43,,,,,,,,,,,,
"June 6, 2015     5100 block of Jennifer Circle          Access Device Fraud","June 6, 2015",42161,06/06/15,5100 block of Jennifer Circle 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,32,47,,,,,,,,,,,,
"June 2, 2015     100 block of Louisa Lane          Access Device Fraud","June 2, 2015",42157,06/02/15,100 block of Louisa Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,15,27,42,,,,,,,,,,,,
"May 8, 2015     6280 Carlisle Pike (Members 1st)          Access Device Fraud","May 8, 2015",42132,05/08/15,6280 Carlisle Pike (Members 1st) 17011,6280 Carlisle Pike  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,14,35,49,,,,,,,,,,,,
"April 27, 2015     1000 block of Louisa Lane           Access Device Fraud","April 27, 2015",42121,04/27/15,1000 block of Louisa Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,28,45,,,,,,,,,,,,
"April 22, 2015     1100 block of Dry Powder Circle          Access Device Fraud","April 22, 2015",42116,04/22/15,1100 block of Dry Powder Circle 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,34,51,,,,,,,,,,,,
"April 13, 2015     5301 Simpson Ferry Road (Giant)           Access Device Fraud","April 13, 2015",42107,04/13/15,5301 Simpson Ferry Road (Giant) 17011,5301 Simpson Ferry Road  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,17,34,51,,,,,,,,,,,,
"March 27, 2015     5200 block of Meadowbrook Drive           Access Device Fraud","March 27, 2015",42090,03/27/15,5200 block of Meadowbrook Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,34,51,,,,,,,,,,,,
"March 27, 2015     5267 Simpson Ferry Road (Broco Supply)           Access Device Fraud","March 27, 2015",42090,03/27/15,5267 Simpson Ferry Road (Broco Supply) 17011,5267 Simpson Ferry Road  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,17,41,58,,,,,,,,,,,,
"March 26, 2015     1400 block of Summit Way          Access Device Fraud","March 26, 2015",42089,03/26/15,1400 block of Summit Way 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,27,44,,,,,,,,,,,,
"March 25, 2015     5301 Simpson Ferry Road (Giant)           Access Device Fraud","March 25, 2015",42088,03/25/15,5301 Simpson Ferry Road (Giant) 17011,5301 Simpson Ferry Road  17011,Access Device Fraud,Access Device Fraud,#VALUE!,,17,34,51,,,,,,,,,,,,
"March 18, 2015     200 block of Salem Church Road           Access Device Fraud","March 18, 2015",42081,03/18/15,200 block of Salem Church Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,33,50,,,,,,,,,,,,
"March 13, 2015     First block of Kensington Square          Access Device Fraud","March 13, 2015",42076,03/13/15,First block of Kensington Square 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,17,35,52,,,,,,,,,,,,
"March 7, 2015     5200 block of Deerfield Lane           Access Device Fraud","March 7, 2015",42070,03/07/15,5200 block of Deerfield Lane 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,16,31,47,,,,,,,,,,,,
"January 15, 2015     6400 block of Creekbend Drive          Access Device Fraud","January 15, 2015",42019,01/15/15,6400 block of Creekbend Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,19,32,51,,,,,,,,,,,,
"January 5, 2015     4100 block of Nantucket Drive          Access Device Fraud","January 5, 2015",42009,01/05/15,4100 block of Nantucket Drive 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,18,32,50,,,,,,,,,,,,
"January 5, 2015     3800 block of Claverton Road          Access Device Fraud","January 5, 2015",42009,01/05/15,3800 block of Claverton Road 17011,#VALUE!,Access Device Fraud,Access Device Fraud,#VALUE!,,18,31,49,,,,,,,,,,,,
"November 16, 2016     3925 Trindle Road (RT Grimm)          Access Device Fraud    D","November 16, 2016",42690,11/16/16,3925 Trindle Road (RT Grimm) 17011,3925 Trindle Road  17011,Access Device Fraud D,Access Device Fraud ,#VALUE!,,20,31,51,,,,,,,,,,,,
"January 14, 2015     400 block of Brook Circle          Access Device Fraud    D","January 14, 2015",42018,01/14/15,400 block of Brook Circle 17011,#VALUE!,Access Device Fraud D,Access Device Fraud ,#VALUE!,,19,28,47,,,,,,,,,,,,
"June 28, 2015     Trindle Road/Sheely Lane          Accidents Involving Damage to Attended Vehicle","June 28, 2015",42183,06/28/15,Trindle Road/Sheely Lane 17011,#VALUE!,Accidents Involving Damage to Att,Accidents Involving Damage to Attended Vehicle,#VALUE!,,16,27,43,,,,,,,,,,,,
"April 12, 2016     East Trindle Road/Rt 581         Accidents Involving Damage to Attended Vehicle","April 12, 2016",42472,04/12/16,East Trindle Road/Rt 581 17011,#VALUE!,Accidents Involving Damage to Atten,Accidents Involving Damage to Attended Vehicle,#VALUE!,,17,27,44,,,,,,,,,,,,
"May 13, 2016     4900 block of Carlisle Pike         Accidents Involving Damage to Attended Vehicle","May 13, 2016",42503,05/13/16,4900 block of Carlisle Pike 17011,#VALUE!,Accidents Involving Damage to Attend,Accidents Involving Damage to Attended Vehicle,#VALUE!,,15,30,45,,,,,,,,,,,,
