aun2,school,year,aun,schoolnumber,county_,district_,group,grade,subject1,subject2,subject3,numberscored1,numberscored2,numberscored3,pctadvanced1,pctadvanced2,pctadvanced3,pctproficient1,pctproficient2,pctproficient3,pctbasic1,pctbasic2,pctbasic3,pctbb1,pctbb2,pctbb3,district,engprofadv,mathprofadv,sciprofadv,survyear,ncessch,stid,seasch,fipst,leaid,schno,leanm,schnam,phone,mstree,mcity,mstate,mzip,mzip4,lstree,lcity,lstate,lzip,lzip4,type,status,union,ulocal,latcod,loncod,conum,coname,cdcode,bies,reconsty,reconstf,smempup,ismempup,sftepup,isftepup,sfle,isfle,spfemale,ispfemale,spwhite,ispwhite,spelm,ispelm,fte,gslo,gshi,povrate
1.194e+12,"CLARKS SUMMIT EL SCH",2015,119350303,7570,"","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",166,"167","89","13.9","15.6","43.8","57.8","40.7","48.3","21.7","32.3","5.6","6.6","11.4","2.2","ABINGTON HEIGHTS SD",71.7,56.3,"92.1","2013","420201000371","119350303","7570","42","4202010","00371","ABINGTON HEIGHTS SD","CLARKS SUMMIT EL SCH","5705857300","401 W GROVE ST","CLARKS SUMMIT","PA","18411","2025","401 WEST GROVE ST","CLARKS SUMMIT","PA","18411","2025","1","1","000","21","41.4889","-75.7027","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","24.42","KG","04",.14606742
1.194e+12,"ABINGTON HEIGHTS MS",2016,119350303,6839,"LACKA","ABINGTON HEIGHTS SD","All Students","School Total","English Language Arts","Math","Science",1018,"1019","243","27.7","23.3","38.7","49.6","31.4","36.2","19.1","27.8","16","3.6","17.6","9.1","",77.3,54.7,"74.9","2013","420201006839","119350303","6839","42","4202010","06839","ABINGTON HEIGHTS SD","ABINGTON HEIGHTS MS","5705854300","1555 NEWTON RANSOM BLVD","CLARKS SUMMIT","PA","18411","9804","1555 NEWTON RANSOM BLVD","CLARKS SUMMIT","PA","18411","9804","1","1","000","41","41.4773","-75.7491","42069","LACKAWANNA COUNTY","4210","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","67.96","05","08",.14985591
1.235e+12,"ROSLYN SCH",2016,123460302,3234,"MONTG","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",240,"240","62","30.4","30","41.9","50.4","35.8","46.8","15","23.3","9.7","4.2","10.8","1.6","",80.8,65.8,"88.7","2013","420204003234","123460302","3234","42","4202040","03234","ABINGTON SD","ROSLYN SCH","2158843368","2565 SUSQUEHANNA STREET","ROSLYN","PA","19001","3108","2565 SUSQUEHANNA ST","ROSLYN","PA","19001","3108","1","1","000","21","40.1257","-75.1324","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","32.3","KG","06",.23476298
1.235e+12,"MCKINLEY SCH",2016,123460302,5075,"MONTG","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",332,"332","85","31.9","34.3","68.2","51.2","36.7","27.1","13.3","21.1","3.5","3.6","7.8","1.2","",83.1,71,"95.3","2013","420204005075","123460302","5075","42","4202040","05075","ABINGTON SD","MCKINLEY SCH","2156630430","370 CEDAR RD","ELKINS PARK","PA","19027","1655","370 CEDAR RD","ELKINS PARK","PA","19027","1655","1","1","000","21","40.0818","-75.1059","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","48.2","KG","06",.15292354
1.235e+12,"WILLOW HILL SCH",2015,123460302,4910,"","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",214,"213","53","31.3","21.1","56.6","49.5","37.1","32.1","18.7","31.5","7.5",".5","10.3","3.8","ABINGTON SD",80.8,58.2,"88.7","2013","420204004910","123460302","4910","42","4202040","04910","ABINGTON SD","WILLOW HILL SCH","2156573800","1700 COOLIDGE AVENUE","WILLOW GROVE","PA","19090","4439","1700 COOLIDGE AVE","WILLOW GROVE","PA","19090","4439","1","1","000","21","40.1413","-75.1316","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","31.5","KG","06",.38605898
1.235e+12,"ABINGTON JHS",2016,123460302,3242,"MONTG","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",1120,"1114","542","30.4","18.5","39.7","46.7","30.2","36.9","20.1","34","12.7","2.8","17.3","10.7","",77.1,48.7,"76.6","2013","420204003242","123460302","3242","42","4202040","03242","ABINGTON SD","ABINGTON JHS","2158844700","2056 SUSQUEHANNA ST","ABINGTON","PA","19001","4406","2056 SUSQUEHANNA ST","ABINGTON","PA","19001","4406","1","1","000","21","40.1156","-75.1296","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","130.7","07","09",.20267909
1.235e+12,"ROSLYN SCH",2015,123460302,3234,"","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",238,"238","67","21.4","20.2","58.2","56.3","42.9","34.3","20.2","25.2","4.5","2.1","11.8","3","ABINGTON SD",77.7,63.1,"92.5","2013","420204003234","123460302","3234","42","4202040","03234","ABINGTON SD","ROSLYN SCH","2158843368","2565 SUSQUEHANNA STREET","ROSLYN","PA","19001","3108","2565 SUSQUEHANNA ST","ROSLYN","PA","19001","3108","1","1","000","21","40.1257","-75.1324","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","32.3","KG","06",.23476298
1.235e+12,"OVERLOOK SCH",2015,123460302,3232,"","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",310,"309","66","20.3","20.7","60.6","52.6","32.4","30.3","21.3","29.8","7.6","5.8","17.2","1.5","ABINGTON SD",72.9,53.1,"90.9","2013","420204003232","123460302","3232","42","4202040","03232","ABINGTON SD","OVERLOOK SCH","2156570857","1750 EDGE HILL RD","ABINGTON","PA","19001","","1750 EDGE HILL RD","ABINGTON","PA","19001","4902","1","1","000","21","40.1233","-75.1236","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","37.1","KG","06",.26510721
1.235e+12,"WILLOW HILL SCH",2016,123460302,4910,"MONTG","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",212,"213","53","31.6","28.2","45.3","50.9","31.5","41.5","13.7","31","13.2","3.8","9.4","0","",82.5,59.7,"86.8","2013","420204004910","123460302","4910","42","4202040","04910","ABINGTON SD","WILLOW HILL SCH","2156573800","1700 COOLIDGE AVENUE","WILLOW GROVE","PA","19090","4439","1700 COOLIDGE AVE","WILLOW GROVE","PA","19090","4439","1","1","000","21","40.1413","-75.1316","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","31.5","KG","06",.38605898
1.235e+12,"HIGHLAND SCH",2015,123460302,3229,"","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",276,"276","66","37.3","37","62.1","42","31.2","30.3","16.7","24.6","7.6","4","7.2","0","ABINGTON SD",79.3,68.2,"92.4","2013","420204003229","123460302","3229","42","4202040","03229","ABINGTON SD","HIGHLAND SCH","2158841048","1301 EDGE HILL RD","ABINGTON","PA","19001","","1301 EDGE HILL RD","ABINGTON","PA","19001","4902","1","1","000","21","40.1229","-75.1237","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","32.8","KG","06",.20204082
1.235e+12,"OVERLOOK SCH",2016,123460302,3232,"MONTG","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",306,"306","71","29.7","27.8","50.7","44.8","33.3","39.4","18.3","23.5","5.6","7.2","15.4","4.2","",74.5,61.1,"90.1","2013","420204003232","123460302","3232","42","4202040","03232","ABINGTON SD","OVERLOOK SCH","2156570857","1750 EDGE HILL RD","ABINGTON","PA","19001","","1750 EDGE HILL RD","ABINGTON","PA","19001","4902","1","1","000","21","40.1233","-75.1236","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","37.1","KG","06",.26510721
1.235e+12,"MCKINLEY SCH",2015,123460302,5075,"","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",336,"336","101","37.8","32.7","70.3","45.8","39.6","27.7","15.2","21.1","2","1.2","6.5","0","ABINGTON SD",83.6,72.3,"98","2013","420204005075","123460302","5075","42","4202040","05075","ABINGTON SD","MCKINLEY SCH","2156630430","370 CEDAR RD","ELKINS PARK","PA","19027","1655","370 CEDAR RD","ELKINS PARK","PA","19027","1655","1","1","000","21","40.0818","-75.1059","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","48.2","KG","06",.15292354
1.235e+12,"ABINGTON JHS",2015,123460302,3242,"","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",1102,"1102","536","27.3","15.7","45","50","35.6","33.2","20.2","33.2","13.1","2.5","15.5","8.8","ABINGTON SD",77.3,51.3,"78.2","2013","420204003242","123460302","3242","42","4202040","03242","ABINGTON SD","ABINGTON JHS","2158844700","2056 SUSQUEHANNA ST","ABINGTON","PA","19001","4406","2056 SUSQUEHANNA ST","ABINGTON","PA","19001","4406","1","1","000","21","40.1156","-75.1296","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","130.7","07","09",.20267909
1.235e+12,"RYDAL SCH",2016,123460302,3226,"MONTG","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",323,"322","68","39.6","43.5","55.9","48.9","37.3","38.2","10.2","15.2","5.9","1.2","4","0","",88.5,80.8,"94.1","2013","420204003226","123460302","3226","42","4202040","03226","ABINGTON SD","RYDAL EAST SCH","2158841308","1160 HUNTINGDON PIKE","HUNTINGDON VALLEY","PA","19006","8325","1160 HUNTINGDON PK","HUNTINGDON VALLEY","PA","19006","8325","1","1","000","21","40.0993","-75.0911","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","38.1","KG","06",.09628378
1.235e+12,"COPPER BEECH EL SCH",2016,123460302,7707,"MONTG","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",588,"587","149","31.6","30.3","51.7","46.9","37.1","40.9","17.7","21.1","6","3.7","11.4","1.3","",78.5,67.4,"92.6","2013","420204000620","123460302","7707","42","4202040","00620","ABINGTON SD","COPPER BEECH SCH","2158812000","825 N EASTON ROAD","GLENSIDE","PA","19038","5236","825 NORTH EASTON RD","GLENSIDE","PA","19038","5236","1","1","000","21","40.1145","-75.1385","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","71.6","KG","06",.20564149
1.235e+12,"COPPER BEECH EL SCH",2015,123460302,7707,"","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",605,"604","144","29.6","23.7","50","48.4","37.4","39.6","17.4","25.8","9.7","4.6","13.1",".7","ABINGTON SD",78,61.1,"89.6","2013","420204000620","123460302","7707","42","4202040","00620","ABINGTON SD","COPPER BEECH SCH","2158812000","825 N EASTON ROAD","GLENSIDE","PA","19038","5236","825 NORTH EASTON RD","GLENSIDE","PA","19038","5236","1","1","000","21","40.1145","-75.1385","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","71.6","KG","06",.20564149
1.235e+12,"RYDAL SCH",2015,123460302,3226,"","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",312,"312","78","43.9","34","70.5","46.2","41","29.5","9.6","19.9","0",".3","5.1","0","ABINGTON SD",90.1,75,"100","2013","420204003226","123460302","3226","42","4202040","03226","ABINGTON SD","RYDAL EAST SCH","2158841308","1160 HUNTINGDON PIKE","HUNTINGDON VALLEY","PA","19006","8325","1160 HUNTINGDON PK","HUNTINGDON VALLEY","PA","19006","8325","1","1","000","21","40.0993","-75.0911","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","38.1","KG","06",.09628378
1.235e+12,"HIGHLAND SCH",2016,123460302,3229,"MONTG","ABINGTON SD","All Students","School Total","English Language Arts","Math","Science",296,"296","76","31.4","40.2","47.4","48","35.5","44.7","17.9","16.2","2.6","2.7","8.1","5.3","",79.4,75.7,"92.1","2013","420204003229","123460302","3229","42","4202040","03229","ABINGTON SD","HIGHLAND SCH","2158841048","1301 EDGE HILL RD","ABINGTON","PA","19001","","1301 EDGE HILL RD","ABINGTON","PA","19001","4902","1","1","000","21","40.1229","-75.1237","42091","MONTGOMERY COUNTY","4213","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","32.8","KG","06",.20204082
1.020e+12,"ACADEMY CHARTER SCHOOL",2016,102020003,7846,"ALLEG","ACADEMY CHARTER SCHO","All Students","School Total","English Language Arts","Math","Science",5,"6","6","","","","","","","","","","","","","",,,"","2013","420013300866","102020003","7846","42","4200133","00866","ACADEMY CS","ACADEMY CS","4128855200","900 AGNEW RD","PITTSBURGH","PA","15227","","900 AGNEW RD","PITTSBURGH","PA","15227","","1","1","000","11","40.4004","-79.9663","42003","ALLEGHENY COUNTY","4214","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","25","08","12",.7712766
1.020e+12,"ACADEMY CHARTER SCHOO",2015,102020003,7846,"","ACADEMY CHARTER SCHO","All Students","School Total","English Language Arts","Math","Science",6,"6","6","","","","","","","","","","","","","ACADEMY CHARTER SCHOO",,,"","2013","420013300866","102020003","7846","42","4200133","00866","ACADEMY CS","ACADEMY CS","4128855200","900 AGNEW RD","PITTSBURGH","PA","15227","","900 AGNEW RD","PITTSBURGH","PA","15227","","1","1","000","11","40.4004","-79.9663","42003","ALLEGHENY COUNTY","4214","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","25","08","12",.7712766
1.252e+12,"ACHIEVEMENT HOUSE CS",2015,125230001,7824,"","ACHIEVEMENT HOUSE CS","All Students","School Total","English Language Arts","Math","Science",134,"133","86","0","0","1.2","8.2","0","15.1","50.7","10.5","17.4","41","89.5","66.3","ACHIEVEMENT HOUSE CS",8.2,0,"16.3","2013","420012800843","125230001","7824","42","4200128","00843","ACHIEVEMENT HOUSE CS","ACHIEVEMENT HOUSE CS","4846156200","600 EAGLEVIEW BOULEVARD","EXTON","PA","19341","2635","600 EAGLEVIEW BLVD","EXTON","PA","19341","2635","1","1","000","21","40.0651","-75.679","42029","CHESTER COUNTY","4206","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","59.25","07","12",.6688172
1.252e+12,"ACHIEVEMENT HOUSE CS",2016,125230001,7824,"CHEST","ACHIEVEMENT HOUSE CS","All Students","School Total","English Language Arts","Math","Science",66,"66","50","1.5","1.5","4","21.2","3","30","53","15.2","24","24.2","80.3","42","",22.7,4.5,"34","2013","420012800843","125230001","7824","42","4200128","00843","ACHIEVEMENT HOUSE CS","ACHIEVEMENT HOUSE CS","4846156200","600 EAGLEVIEW BOULEVARD","EXTON","PA","19341","2635","600 EAGLEVIEW BLVD","EXTON","PA","19341","2635","1","1","000","21","40.0651","-75.679","42029","CHESTER COUNTY","4206","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","59.25","07","12",.6688172
1.265e+12,"AD PRIMA CS",2016,126510015,7825,"PHILA","AD PRIMA CS","All Students","School Total","English Language Arts","Math","Science",325,"354","102","7.1","5.1","21.6","46.8","16.7","40.2","36.9","32.8","25.5","9.2","45.5","12.7","",53.9,21.8,"61.8","2013","420012900846","126510015","7825","42","4200129","00846","AD PRIMA CS","AD PRIMA CS","6106179121","ADMINISTRATIVE OFFICE","BALA CYNWYD","PA","19004","","3556 FRANKFORD AVE","PHILADELPHIA","PA","19134","","1","1","000","11","39.9981","-75.102","42101","PHILADELPHIA COUNTY","4201","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","36","KG","08",.62894249
1.265e+12,"AD PRIMA CS",2015,126510015,7825,"","AD PRIMA CS","All Students","School Total","English Language Arts","Math","Science",315,"316","114","8.9","3.8","23.7","55.6","14.6","40.4","30.2","40.8","21.9","5.4","40.8","14","AD PRIMA CS",64.5,18.4,"64.1","2013","420012900846","126510015","7825","42","4200129","00846","AD PRIMA CS","AD PRIMA CS","6106179121","ADMINISTRATIVE OFFICE","BALA CYNWYD","PA","19004","","3556 FRANKFORD AVE","PHILADELPHIA","PA","19134","","1","1","000","11","39.9981","-75.102","42101","PHILADELPHIA COUNTY","4201","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","36","KG","08",.62894249
1.265e+12,"AGORA CYBER CS",2016,126510020,7858,"CHEST","AGORA CYBER CS","All Students","School Total","English Language Arts","Math","Science",2210,"2217","816","2.2","1.3","12.5","21.5","5.5","25.5","44.8","16.5","18.5","31.4","76.6","43.5","",23.7,6.8,"38","2013","420014000896","126510020","7858","42","4200140","00896","AGORA CYBER CS","AGORA CYBER CS","6102548218","995 OLD EAGLE SCH RD SUITE 315","WAYNE","PA","19087","","995 OLD EAGLE SCH RD","WAYNE","PA","19087","","1","1","000","21","40.0756","-75.4103","42029","CHESTER COUNTY","4206","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","384","KG","12",.7032666
1.265e+12,"AGORA CYBER CS",2015,126510020,7858,"","AGORA CYBER CS","All Students","School Total","English Language Arts","Math","Science",2798,"2804","1025","2.8","2","9.5","22.8","6.9","25.6","43.5","22.1","21.8","30.9","69","43.2","AGORA CYBER CS",25.6,8.9,"35.1","2013","420014000896","126510020","7858","42","4200140","00896","AGORA CYBER CS","AGORA CYBER CS","6102548218","995 OLD EAGLE SCH RD SUITE 315","WAYNE","PA","19087","","995 OLD EAGLE SCH RD","WAYNE","PA","19087","","1","1","000","21","40.0756","-75.4103","42029","CHESTER COUNTY","4206","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","384","KG","12",.7032666
1.013e+12,"ALBERT GALLATIN NORTH MS",2016,101260303,7607,"FAYET","ALBERT GALLATIN AREA","All Students","School Total","English Language Arts","Math","Science",382,"384","125","12.6","8.3","14.4","40.1","24.7","27.2","36.9","27.9","24.8","10.5","39.1","33.6","",52.7,33,"41.6","2013","420210000407","101260303","7607","42","4202100","00407","ALBERT GALLATIN AREA SD","ALBERT GALLATIN NORTH MS","7247375423","113 COLLEGE AVENUE","MCCLELLANDTOWN","PA","15458","","113 COLLEGE AVE","MCCLELLANDTOWN","PA","15458","","1","1","000","41","39.8959","-79.8823","42051","FAYETTE COUNTY","4209","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","28.2","06","08",.60679612
1.013e+12,"GEORGE J PLAVA EL SCH",2016,101260303,2129,"FAYET","ALBERT GALLATIN AREA","All Students","School Total","English Language Arts","Math","Science",153,"153","50","8.5","5.2","40","43.1","20.3","38","29.4","30.7","12","19","43.8","10","",51.6,25.5,"78","2013","420210002129","101260303","2129","42","4202100","02129","ALBERT GALLATIN AREA SD","GEORGE J PLAVA EL SCH","7247375424","120 PURITAN RD","MC CLELLANDTOWN","PA","15458","9720","120 PURITAN RD","MC CLELLANDTOWN","PA","15458","9720","1","1","000","41","39.8843","-79.8626","42051","FAYETTE COUNTY","4209","2","N","2","2","PS","2","PS","2","PS","2","PS","2","PS","2","PS","19","KG","05",.66551724
